,P-FW1-WED,P-FW2-WED,P-FW3-WED,P-FW4-WED
00:00:00,2157.867,2951.861,3109.663,2989.704
00:15:00,2064.249,2894.348,3051.881,2927.728
00:30:00,2033.866,2879.517,3007.032,2902.727
00:45:00,1990.081,2783.716,2948.983,2867.238
01:00:00,1943.961,2759.737,2929.066,2812.501
01:15:00,1912.977,2754.753,2831.27,2763.194
01:30:00,1899.382,2688.733,2823.585,2804.375
01:45:00,1899.148,2682.567,2794.27,2755.851
02:00:00,1855.916,2642.516,2744.243,2682.201
02:15:00,1821.433,2595.458,2713.595,2653.208
02:30:00,1814.189,2604.544,2665.534,2633.022
02:45:00,1839.709,2555.883,2673.257,2593.319
03:00:00,1783.238,2542.446,2631.08,2562.537
03:15:00,1788.417,2524.779,2607.288,2575.922
03:30:00,1757.776,2524.923,2575.757,2559.483
03:45:00,1780.157,2507.502,2589.024,2534.242
04:00:00,1718.527,2492.22,2599.355,2529.35
04:15:00,1729.239,2503.855,2589.401,2548.208
04:30:00,1759.234,2485.738,2585.922,2573.733
04:45:00,1814.013,2565.728,2628.552,2600.047
05:00:00,1850.48,2512.19,2679.301,2655.463
05:15:00,1836.229,2532.802,2723.587,2640.056
05:30:00,1857.657,2553.605,2722.282,2702.994
05:45:00,1908.644,2583.847,2772.277,2771.491
06:00:00,1988.618,2617.328,2850.198,2849.329
06:15:00,1935.904,2624.583,2971.678,2938.768
06:30:00,1975.972,2654.902,2933.13,2930.228
06:45:00,2034.236,2630.263,2929.037,2921.375
07:00:00,1969.467,2704.34,2908.921,2891.998
07:15:00,2047.486,2692.639,2874.175,2951.963
07:30:00,2054.625,2742.526,2971.953,2968.32
07:45:00,2021.224,2786.177,2940.548,2954.541
08:00:00,2004.777,2865.508,2947.526,2926.767
08:15:00,2007.897,3000.728,2970.069,2996.383
08:30:00,2094.361,3056.523,3030.036,3011.391
08:45:00,2086.971,3092.994,3167.567,3080.524
09:00:00,2138.57,3170.128,3222.263,3209.436
09:15:00,2162.838,3186.277,3290.253,3274.426
09:30:00,2207.437,3230.734,3350.79,3329.252
09:45:00,2250.247,3277.523,3357.156,3374.91
10:00:00,2290.611,3329.548,3411.969,3408.186
10:15:00,2305.436,3365.627,3416.306,3477.385
10:30:00,2362.27,3346.313,3490.661,3537.023
10:45:00,2367.757,3364.956,3512.726,3564.736
11:00:00,2360.09,3465.324,3571.486,3580.122
11:15:00,2398.787,3477.821,3490.436,3611.788
11:30:00,2428.321,3496.438,3537.667,3642.858
11:45:00,2421.898,3588.931,3522.771,3664.84
12:00:00,2460.099,3665.873,3608.601,3711.602
12:15:00,2472.595,3723.123,3623.497,3729.526
12:30:00,2459.163,3720.497,3663.088,3728.806
12:45:00,2535.875,3735.085,3647.312,3737.382
13:00:00,2535.608,3814.752,3676.578,3750.242
13:15:00,2560.697,3830.889,3671.328,3729.528
13:30:00,2537.996,3836.443,3656.497,3763.896
13:45:00,2532.878,3837.649,3705.772,3824.081
14:00:00,2521.912,3867.989,3684.233,3826.434
14:15:00,2522.276,3885.61,3670.069,3829.885
14:30:00,2555.377,3878.405,3649.756,3805.729
14:45:00,2579.913,3785.102,3661.579,3876.436
15:00:00,2537.091,3784.425,3678.963,3842.665
15:15:00,2550.12,3871.107,3663.585,3845.066
15:30:00,2520.26,3850.526,3667.419,3818.274
15:45:00,2497.181,3824.665,3647.497,3777.437
16:00:00,2513.893,3779.02,3603.238,3779.292
16:15:00,2484.177,3695.558,3517.24,3631.14
16:30:00,2439.501,3649.697,3470.021,3523.196
16:45:00,2402.851,3467.028,3284.69,3359.48
17:00:00,2328.461,3377.68,3210.57,3281.192
17:15:00,2310.494,3222.222,3103.226,3196.602
17:30:00,2291.663,3221.197,3045.8,3210.392
17:45:00,2305.059,3178.706,2981.381,3186.743
18:00:00,2399.149,3210.262,3031.817,3271.048
18:15:00,2531.003,3293.669,3101.496,3386.617
18:30:00,2653.428,3501.38,3305.193,3642.401
18:45:00,2730.835,3690.338,3482.002,3829.217
19:00:00,2763.099,3864.02,3606.835,3961.694
19:15:00,2784.051,3849.773,3563.023,3962.553
19:30:00,2809.537,3902.188,3689.407,4001.892
19:45:00,2819.259,3918.628,3754.108,4107.464
20:00:00,2775.67,3889.251,3582.539,4086.038
20:15:00,2725.653,3885.325,3624.791,4058.389
20:30:00,2700.153,3856.24,3827.68,4056.829
20:45:00,2628.175,3878.004,3845.967,4075.56
21:00:00,2582.463,3760.676,3877.562,4042.369
21:15:00,2585.655,3692.249,3829.999,4012.934
21:30:00,2570.294,3647.013,3760.45,4009.103
21:45:00,2530.046,3605.283,3700.176,3865.482
22:00:00,2557.732,3571.16,3601.524,3723.099
22:15:00,2465.487,3441.494,3478.253,3666.378
22:30:00,2450.175,3428.457,3444.206,3607.952
22:45:00,2366.075,3332.99,3338.875,3487.385
23:00:00,2327.406,3277.98,3305.466,3407.349
23:15:00,2285.712,3086.97,3232.459,3323.723
23:30:00,2241.373,3085.488,3141.958,3250.193
23:45:00,2212.256,3025.214,3094.031,3225.079
