,F-JW1-WED,F-JW2-WED,F-JW3-WED,F-JW4-WED
0,2563.081,2917.066,2871.155,2978.301
1,2583.46,2859.659,2873.299,3048.398
2,2514.806,2795.11,2876.344,3022.454
3,2481.408,2827.075,2906.041,2993.71
4,2434.778,2790.69,2754.602,3024.101
5,2457.237,2792.14,2792.642,2937.089
6,2416.76,2824.779,2759.112,2891.023
7,2418.993,2717.42,2673.301,2825.821
8,2450.464,2697.153,2694.528,2807.616
9,2437.169,2666.135,2720.014,2774.984
10,2390.089,2764.427,2724.773,2785.514
11,2405.311,2749.836,2723.605,2734.093
12,2387.988,2700.24,2686.594,2733.136
13,2398.658,2712.353,2655.378,2711.994
14,2387.401,2715.813,2600.668,2673.412
15,2289.015,2645.138,2628.691,2715.606
16,2281.077,2606.801,2619.174,2767.49
17,2285.063,2674.886,2624.415,2711.038
18,2235.977,2650.412,2599.775,2659.572
19,2337.593,2548.076,2541.355,2715.456
20,2421.785,2641.441,2794.173,2866.601
21,2354.824,2657.25,2743.021,2872.98
22,2370.329,2616.893,2846.635,2828.023
23,2386.036,2692.573,2597.73,2755.462
24,2352.741,2725.932,2820.854,2884.57
25,2277.85,2572.684,2812.504,2808.318
26,2128.039,2433.846,2745.374,2685.041
27,2109.962,2431.702,2662.718,2547.665
28,2107.184,2494.907,2593.05,2589.04
29,2176.148,2553.788,2882.119,2595.335
30,2151.206,2532.474,2908.539,2710.224
31,2187.804,2612.984,2928.361,2599.08
32,2438.837,2770.495,3168.266,2863.097
33,2420.026,2836.043,3390.848,2892.623
34,2546.498,2964.707,3552.578,3080.036
35,2640.868,2920.433,3591.411,3221.801
36,2636.783,3002.171,3751.341,3250.409
37,2766.737,3027.875,3791.62,3394.308
38,2996.34,3035.21,3856.358,3371.842
39,3027.344,3108.049,3925.6,3432.357
40,3124.136,3111.628,3899.346,3468.024
41,3115.403,3146.165,4032.543,3583.876
42,3120.024,2512.117,4050.735,3588.808
43,3063.849,3119.075,4154.721,3593.34
44,3137.741,3146.771,4183.708,3615.246
45,3093.835,3167.167,4210.263,3919.255
46,3093.065,3234.134,4225.292,3714.486
47,2956.737,3343.083,4104.331,3658.565
48,3013.919,3447.654,4179.087,3625.453
49,3233.991,3622.39,4170.344,3830.744
50,3130.751,3702.881,4186.945,3791.879
51,3214.836,4102.557,4202.122,3832.676
52,3244.131,4137.306,4227.799,3811.357
53,3255.297,4066.052,4245.175,3847.5
54,3183.165,4076.902,4197.803,3842.072
55,3202.012,4093.948,4242.237,3834.955
56,3259.825,4175.193,4222.05,3871.292
57,3251.667,4103.812,4264.604,3876.877
58,3257.785,3790.596,4262.658,3838.034
59,3215.615,3776.989,4199.303,3785.364
60,3195.648,3945.265,4191.517,3795.63
61,3259.613,3948.556,4272.562,3864.104
62,3172.296,4000.369,4243.426,3792.037
63,3217.644,3959.444,4295.112,3800.411
64,3235.323,3921.824,3961.776,3665.167
65,3180.26,3857.076,4027.128,3584.673
66,3096.031,3810.299,3918.198,3427.607
67,3049.383,3499.023,3750.558,3408.572
68,3011.067,3401.996,3756.464,3370.543
69,2949.762,3110.281,3674.114,3264.631
70,2774.532,3189.4,3542.919,3181.408
71,2800.876,2972.431,3393.169,3200.304
72,2810.595,3038.846,3375.757,3269.344
73,2881.402,3134.64,3430.393,3277.751
74,3217.881,3261.965,3725.784,3449.87
75,3240.099,3397.85,3741.723,3672.126
76,3330.362,3343.64,3754.106,3650.462
77,3256.471,3356.346,3675.053,3587.305
78,3126.473,3359.146,3573.235,3666.482
79,3178.166,3332.15,3511.562,3560.246
80,3131.831,3319.909,3525.586,3670.653
81,3200.997,3316.783,3595.049,3599.668
82,2878.236,3277.592,3630.235,3556.768
83,2852.567,3265.467,3631.22,3431.849
84,2771.5,3201.712,3509.598,3416.992
85,2765.785,3175.076,3503.873,3255.979
86,2712.92,3053.021,3510.843,3268.606
87,2783.261,3003.393,3502.99,3178.9
88,2698.916,2943.199,3390.636,3158.085
89,2621.608,2888.255,3275.357,3119.126
90,2596.51,2850.037,3263.867,3075.996
91,2641.613,2940.719,3173.398,3130.308
92,2651.329,2682.359,3281.533,3039.452
93,2621.135,2649.486,3227.463,2993.811
94,2607.726,2688.776,3157.279,2989.104
95,2579.091,2619.774,3540.754,2987.697
