,Q-FW1-MON,Q-FW1-TUE,Q-FW1-WED,Q-FW1-THU,Q-FW1-FRI,Q-FW1-SAT,Q-FW1-SUN
00:00:00,55.522,62.713,101.63,124.527,161.916,215.466,290.539
00:15:00,61.202,83.801,71.474,100.392,154.144,219.924,277.741
00:30:00,87.114,57.18,76.4,114.68,159.482,219.379,287.837
00:45:00,49.554,57.759,74.531,114.067,113.132,216.358,273.367
01:00:00,62.812,90.412,65.778,116.316,150.919,209.969,285.334
01:15:00,62.334,55.994,49.981,91.824,112.436,203.234,258.52
01:30:00,43.099,61.92,46.291,99.951,140.396,208.82,287.932
01:45:00,68.153,55.971,68.552,103.358,117.304,207.852,298.258
02:00:00,39.647,64.696,46.322,100.71,124.968,202.528,294.179
02:15:00,41.431,30.388,28.826,75.137,108.956,193.886,271.728
02:30:00,31.421,46.432,27.739,100.496,105.276,193.839,271.802
02:45:00,42.726,34.212,62.308,68.513,88.131,185.369,286.502
03:00:00,20.984,34.431,27.366,66.023,117.393,195.358,272.819
03:15:00,51.056,6.862,45.498,91.198,72.452,183.359,310.083
03:30:00,19.249,-3.587,21.616,50.071,104.128,191.251,270.148
03:45:00,12.142,18.323,53.654,60.612,83.303,184.467,281.418
04:00:00,31.416,-1.161,5.988,77.126,125.048,195.043,273.809
04:15:00,23.176,25.24,17.504,55.592,89.273,194.186,293.744
04:30:00,18.891,10.456,25.36,69.616,118.136,181.131,289.784
04:45:00,24.066,25.068,19.113,65.319,83.656,184.662,298.751
05:00:00,48.524,4.087,53.233,84.937,109.677,191.099,283.68
05:15:00,9.946,-4.718,-4.4,25.317,45.006,191.851,294.097
05:30:00,8.642,-21.457,-7.11,37.927,74.671,185.777,293.202
05:45:00,-20.97,1.077,-14.952,57.328,53.0,200.667,301.389
06:00:00,35.036,-0.032,0.819,39.929,98.133,200.758,291.702
06:15:00,30.867,6.957,-40.998,31.459,75.617,188.563,271.494
06:30:00,10.703,-23.231,-33.31,24.358,68.75,166.883,260.357
06:45:00,-15.367,-53.793,-7.202,39.336,56.198,153.831,243.174
07:00:00,-25.234,-64.744,-21.532,-14.121,99.341,156.332,242.492
07:15:00,-6.006,-13.826,-12.114,21.622,67.378,132.827,222.301
07:30:00,-6.532,-19.517,1.382,12.744,106.438,140.922,223.486
07:45:00,6.571,-17.866,-9.709,51.354,103.807,166.253,197.754
08:00:00,22.047,4.12,65.772,41.81,69.064,222.394,258.536
08:15:00,54.383,26.304,64.314,69.923,144.61,243.809,251.949
08:30:00,67.017,71.832,95.364,93.309,158.334,239.278,252.043
08:45:00,98.413,147.464,106.879,128.529,150.924,215.236,255.472
09:00:00,127.512,140.359,136.47,208.124,172.26,240.488,366.304
09:15:00,182.943,169.443,143.911,229.046,184.618,233.828,388.79
09:30:00,182.494,166.453,180.8,225.068,205.756,261.958,356.672
09:45:00,159.682,128.773,203.862,228.42,207.231,275.65,332.744
10:00:00,163.558,166.913,209.386,238.742,215.486,293.694,369.524
10:15:00,163.353,169.292,213.934,219.318,196.799,325.912,352.837
10:30:00,185.196,160.589,218.879,215.294,192.274,377.893,335.091
10:45:00,192.598,165.792,220.539,219.552,216.322,370.514,360.133
11:00:00,188.641,162.287,191.85,233.504,216.027,409.654,332.278
11:15:00,177.634,161.152,200.422,233.746,225.494,437.964,396.467
11:30:00,188.841,161.549,216.576,242.794,200.501,429.409,414.712
11:45:00,205.943,160.86,200.281,244.356,181.132,414.049,376.646
12:00:00,205.68,167.014,215.004,226.561,31.946,424.717,379.037
12:15:00,208.193,173.759,223.126,221.293,15.194,436.949,395.962
12:30:00,213.984,174.723,227.263,231.584,11.706,414.097,372.463
12:45:00,219.28,161.633,233.459,228.018,0.478,425.967,381.923
13:00:00,207.302,186.041,228.898,215.329,-12.607,410.217,408.771
13:15:00,180.786,183.578,236.709,207.94,-25.618,386.607,424.084
13:30:00,183.026,176.867,219.331,204.57,-23.793,353.606,405.501
13:45:00,198.018,175.264,230.308,214.364,-11.05,341.6,386.626
14:00:00,199.458,186.78,226.192,217.89,2.812,372.288,385.048
14:15:00,221.579,188.16,225.237,230.836,4.786,465.359,375.658
14:30:00,210.238,187.706,230.776,233.526,-2.718,469.818,366.213
14:45:00,220.052,194.937,232.64,232.02,-5.167,478.62,370.551
