,P-JW1-MON,P-JW1-TUE,P-JW1-WED,P-JW1-THU,P-JW1-FRI,P-JW1-SAT,P-JW1-SUN,P-JW2-MON,P-JW2-TUE,P-JW2-WED,P-JW2-THU,P-JW2-FRI,P-JW2-SAT,P-JW2-SUN,P-JW3-MON,P-JW3-TUE,P-JW3-WED,P-JW3-THU,P-JW3-FRI,P-JW3-SAT,P-JW3-SUN,P-JW4-MON,P-JW4-TUE,P-JW4-WED,P-JW4-THU,P-JW4-FRI,P-JW4-SAT,P-JW4-SUN,P-FW1-MON,P-FW1-TUE,P-FW1-WED,P-FW1-THU,P-FW1-FRI,P-FW1-SAT,P-FW1-SUN,P-FW2-MON,P-FW2-TUE,P-FW2-WED,P-FW2-THU,P-FW2-FRI,P-FW2-SAT,P-FW2-SUN,P-FW3-MON,P-FW3-TUE,P-FW3-WED,P-FW3-THU,P-FW3-FRI,P-FW3-SAT,P-FW3-SUN
00:00:00,13575.423,13229.67,13438.04,12885.269,13021.783,13379.846,13602.902,12882.394,12653.173,12287.906,12799.288,12435.938,12999.328,12708.511,12732.352,12570.093,13140.79,12262.75,13144.289,13099.324,12835.256,13160.015,12707.131,13033.479,12890.003,12809.756,12843.784,10691.086,10636.017,10564.932,10676.323,10582.366,11130.006,11316.621,11517.29,11327.297,10999.537,11513.81,11489.015,11701.08,11364.335,11348.799,11582.969,11432.796,11806.935,11652.754,11471.997,11676.4,11413.531
00:15:00,13191.545,13048.919,12907.674,12695.838,12742.193,13317.077,13363.313,12714.635,12348.687,12005.175,12700.407,12313.23,12786.743,12534.335,12577.43,12255.305,12821.846,11944.771,12888.903,12804.797,12559.915,12933.261,12491.876,12695.124,12572.427,12559.645,12724.683,10454.954,10207.072,10231.601,10484.696,10354.389,10875.126,11107.074,11370.765,11190.706,10745.427,11317.238,11401.124,11562.429,11140.095,11302.831,11208.266,11155.8,11638.399,11392.494,11316.391,11264.786,11267.189
00:30:00,13064.414,12780.824,12674.354,12585.694,12649.133,13120.735,13238.653,12476.851,12179.748,11795.19,12440.542,12223.479,12604.169,12358.415,12417.855,12010.696,12654.699,11830.931,12674.377,12616.431,12550.619,12733.229,12381.685,12490.831,12378.081,12385.375,12547.708,10497.888,10127.77,9982.21,10280.929,10232.547,10686.396,10993.116,11059.38,11043.86,10562.678,10968.642,11174.746,11322.723,11128.996,11116.391,11048.361,11031.343,11477.364,11291.315,11044.587,11238.575,11202.885
00:45:00,12836.59,12608.681,12495.676,12416.963,12498.758,12988.136,13048.023,12314.395,12107.46,11656.639,12324.688,11968.917,12348.617,12106.403,12304.554,11932.683,12483.484,11704.788,12532.87,12471.733,12282.393,12434.646,12158.326,12281.729,12342.307,12213.371,12308.572,10208.295,9960.999,9786.555,10106.805,10023.359,10612.182,10866.769,11018.122,10775.37,10569.628,10897.337,11069.452,11085.125,10788.105,10911.623,10879.411,10690.129,11340.57,11072.718,10872.217,10946.247,11016.292
01:00:00,12532.873,12448.356,12452.769,12285.861,12430.347,12757.538,12849.5,12120.047,11918.682,11532.893,12060.725,11881.385,12254.184,12146.155,12158.334,11679.288,12289.962,11618.287,12337.531,12399.197,12174.061,12285.742,11964.842,12082.677,12079.341,12034.547,11390.617,10101.498,9835.695,9679.285,9866.625,9915.928,10399.81,10793.143,10961.157,10671.815,10404.667,10630.875,10951.057,10815.52,10666.735,10651.333,10750.295,10640.367,11089.535,10834.835,10673.8,10875.073,10681.569
01:15:00,12461.139,12342.817,12145.73,12012.502,12245.03,12647.984,12568.196,11947.317,11616.078,11313.622,11918.488,11856.862,11967.361,11977.938,12065.458,11583.399,12270.23,11349.592,12166.235,12160.241,11975.865,12036.637,11813.974,11875.938,12064.636,12020.454,11230.616,9927.5,9667.997,9434.146,9812.46,9785.348,10270.506,10607.726,10762.712,10571.804,10271.906,10520.628,10802.399,10734.12,10621.312,10602.458,10678.417,10463.512,10996.065,10732.2,10673.971,10660.283,10714.066
01:30:00,12377.822,12209.658,11991.356,11867.0,12187.877,12554.894,12498.888,11757.622,11494.547,11187.82,11788.019,11681.321,11927.236,11789.365,11889.402,11436.681,11933.142,11257.816,12031.336,12028.886,11859.653,11884.633,11629.179,11665.626,11769.519,11783.438,8157.353,9879.262,9594.57,9435.568,9755.141,9800.045,10229.45,10532.833,10724.577,10489.75,10041.812,10551.984,10737.683,10567.46,10497.288,10371.644,10419.831,10292.49,10890.792,10581.53,10504.101,10673.502,10479.067
01:45:00,12078.932,12128.465,11912.883,11729.792,11951.986,12391.451,12247.224,11684.349,11373.473,11166.973,11633.935,11668.142,11751.074,11641.384,11777.109,11256.694,11973.74,11219.556,11962.564,11849.087,11767.892,11708.819,11666.585,11656.003,11779.864,11605.822,7949.737,9729.664,9568.671,9357.093,9663.63,9603.386,9913.646,10448.994,10697.366,10295.661,10091.997,10340.551,10580.48,10536.386,10347.995,10252.908,10320.857,10223.697,10772.65,10426.453,10403.274,10388.596,10401.555
02:00:00,12107.332,11897.717,11762.98,11659.207,11769.39,12203.126,12059.523,11551.421,11191.491,11078.902,11541.108,11646.225,11570.137,11447.448,11616.725,11120.269,11743.478,11087.506,11797.364,11675.447,11626.413,11618.197,11476.432,11486.204,11567.55,11481.953,7995.59,9641.415,9428.195,9219.138,9582.65,9459.827,9971.222,10325.792,10608.564,10244.167,9989.872,10219.331,10529.017,10437.574,10281.118,10196.341,10332.738,10177.154,10654.831,10258.252,10302.953,10296.025,10189.031
02:15:00,11959.314,11940.668,11671.473,11438.189,11642.211,12033.298,11998.329,11416.41,11340.778,10931.715,11398.795,11423.43,11418.243,11393.808,11619.453,10999.829,11763.539,11067.365,11723.889,11550.63,11477.756,11487.956,11459.954,11470.053,11530.051,11372.813,9713.448,9502.959,9337.25,9109.061,9508.635,9407.355,9761.471,10233.389,10360.641,10075.692,9856.047,10086.648,10347.773,10391.188,10118.305,10072.312,10121.375,6923.883,10578.487,10100.306,10159.138,10228.874,10184.479
02:30:00,11877.663,11830.511,11584.711,11564.427,11640.223,12111.394,11825.69,11330.569,11073.835,10864.499,11403.241,11418.203,11329.812,11163.827,11529.319,11145.537,11704.047,11018.284,11519.005,11473.067,11562.826,11308.642,11372.96,11542.327,11318.247,11243.574,11491.515,9528.348,9348.584,8934.709,9332.8,9248.376,9689.695,10127.785,10460.657,9978.846,9937.096,10127.269,10311.289,10172.831,10166.948,10058.326,10028.975,6707.966,10503.54,10082.938,10145.526,10165.152,10112.872
02:45:00,11744.331,11824.366,11655.623,11407.805,11414.515,12037.102,11791.729,11239.211,11063.169,10795.333,11291.223,11344.19,11285.138,11045.465,11469.137,10921.879,11528.59,11046.692,11462.938,11422.514,11372.91,11311.128,11297.219,11475.322,11369.247,11242.225,11343.628,9481.323,9164.082,9015.913,9349.914,9238.731,9652.071,10103.37,10326.276,9872.346,9805.085,10004.711,10313.836,10210.375,10028.838,9873.275,9960.89,9946.079,10480.873,10013.647,10063.783,10113.42,9827.113
03:00:00,11812.143,11689.395,11483.154,11387.476,11472.628,11949.716,11627.603,11092.937,11095.557,10687.769,11198.773,11292.199,11077.172,10994.114,11295.175,11031.283,11374.355,10965.175,11377.786,11248.86,11228.478,11307.872,11249.358,11509.083,11356.399,11128.333,11211.194,9314.656,9239.826,8870.381,9231.63,9190.008,9543.743,10019.812,10242.004,9892.633,9690.212,9954.726,10117.135,10045.097,9938.106,9704.792,10002.119,9830.036,10298.467,9943.367,9945.944,10060.211,9762.043
03:15:00,11573.076,11593.653,11597.371,11368.039,11390.806,11945.32,11578.318,11162.15,11074.084,10658.175,11198.784,11191.458,10954.026,10831.858,11241.971,10895.461,11280.869,10911.89,11310.255,11089.465,11288.435,11164.379,11059.171,11283.33,11363.732,11000.136,11273.766,9287.94,8981.385,8831.18,9254.349,9120.864,9546.219,10099.167,10165.866,9849.815,9624.511,9921.295,10115.365,10027.834,9860.795,9718.616,9824.013,9794.125,10293.314,9826.954,9944.552,9951.753,9655.917
03:30:00,11531.029,11508.984,11314.33,11291.215,11307.155,11743.94,11523.171,10985.954,10918.119,10661.294,11060.463,11203.209,10905.108,10827.813,11273.836,10860.284,11429.522,10991.76,11433.218,11140.177,11194.447,11199.35,11109.431,11332.699,11388.066,10983.787,11148.037,9245.156,9096.64,8752.252,9224.839,9140.15,9485.132,9943.596,10102.627,9782.538,9429.142,9886.473,10032.25,9833.623,9811.396,9550.36,9676.124,9724.364,10219.293,9761.108,9929.657,9900.045,9603.317
03:45:00,11473.717,11589.632,11359.344,11270.55,11273.985,11646.88,11360.581,11047.404,10908.421,10657.799,11002.145,11070.08,10773.435,10752.856,11239.767,10844.147,11305.749,10842.322,11174.74,11106.254,11096.833,11100.07,11023.624,11339.464,11255.576,11058.982,11182.484,9207.655,9028.387,8769.303,9039.872,9054.285,9423.769,9999.55,10135.521,9627.986,9569.003,9858.752,10014.208,9893.453,9689.774,9532.867,9790.544,9884.086,10228.221,9769.704,9875.207,9937.789,9643.686
04:00:00,11413.111,11497.255,11336.816,11199.995,11333.313,11598.117,11386.297,11082.277,10925.39,10633.828,11069.685,11067.702,10853.708,10688.01,11215.912,10791.381,11365.951,10860.085,11321.804,11165.474,11070.366,10999.759,10921.37,11201.267,11205.536,11015.653,11065.498,9156.14,9102.953,8788.361,9060.65,8958.077,9472.241,9885.995,10050.08,9649.413,9429.804,9762.373,9957.006,9909.785,9697.473,9533.732,9766.364,9860.14,10237.658,9755.14,9901.191,9774.952,9559.958
04:15:00,11462.314,11648.719,11325.483,11332.001,11314.499,11771.201,11221.499,11147.405,10958.076,10743.712,11202.649,11095.55,10737.72,10616.142,11402.793,10853.741,11452.463,11047.076,11371.474,11018.518,10959.048,10970.734,11101.803,11280.85,11409.097,11005.494,11109.386,9132.95,9030.647,8732.355,9074.207,9010.569,9527.557,9839.019,10078.027,9616.621,9508.483,9823.624,9994.382,9995.928,9724.826,9501.623,9863.604,9929.236,10230.313,9849.05,9879.568,9835.768,9459.303
04:30:00,11535.067,11694.823,11562.283,11432.129,11507.73,11591.994,11205.562,11210.789,10914.202,10840.225,11244.144,11313.613,10738.205,10633.141,11384.152,10919.412,11551.479,11058.317,11371.405,11114.531,11020.852,11246.597,11279.947,11438.369,11578.271,11174.498,10970.141,9146.837,9079.181,8946.03,9070.884,9131.948,9623.157,9897.482,10020.948,9573.852,9457.953,9878.99,10078.178,10085.073,9681.736,9518.359,9962.147,10000.693,10317.687,9872.111,9913.212,9667.987,9510.037
04:45:00,11901.801,11970.428,11547.19,11571.451,11671.158,11654.28,11238.826,11290.167,11224.368,10888.937,11425.014,11476.156,10828.863,10663.718,11522.078,11288.59,11708.287,11187.311,11509.758,11069.68,10972.44,11423.074,11433.658,11545.325,11673.292,11402.917,11284.919,9136.686,9230.517,8890.177,9348.51,9167.414,9640.539,9908.923,10179.657,9709.312,9490.055,9882.953,10227.853,10215.391,9623.524,9465.436,10039.215,10090.896,10387.217,9979.909,10173.341,9689.082,9488.047
