,Q-JW1-MON,Q-JW1-TUE,Q-JW1-WED,Q-JW1-THU,Q-JW1-FRI,Q-JW1-SAT,Q-JW1-SUN,Q-JW2-MON,Q-JW2-TUE,Q-JW2-WED,Q-JW2-THU,Q-JW2-FRI,Q-JW2-SAT,Q-JW2-SUN,Q-JW3-MON,Q-JW3-TUE,Q-JW3-WED,Q-JW3-THU,Q-JW3-FRI,Q-JW3-SAT,Q-JW3-SUN,Q-JW4-MON,Q-JW4-TUE,Q-JW4-WED,Q-JW4-THU,Q-JW4-FRI,Q-JW4-SAT,Q-JW4-SUN,Q-FW1-MON,Q-FW1-TUE,Q-FW1-WED,Q-FW1-THU,Q-FW1-FRI,Q-FW1-SAT,Q-FW1-SUN,Q-FW2-MON,Q-FW2-TUE,Q-FW2-WED,Q-FW2-THU,Q-FW2-FRI,Q-FW2-SAT,Q-FW2-SUN,Q-FW3-MON,Q-FW3-TUE,Q-FW3-WED,Q-FW3-THU,Q-FW3-FRI,Q-FW3-SAT,Q-FW3-SUN
00:00:00,3430.793,3341.158,3672.594,3378.247,3228.561,3266.441,3476.705,3402.626,3360.791,3017.858,3314.181,3137.901,3391.123,3095.283,3092.142,3170.661,3406.912,3190.251,3528.553,3463.318,3272.299,3330.095,3152.452,3218.206,3166.526,3212.099,3245.725,2563.581,2494.286,2531.787,2563.081,2692.431,2778.272,2580.228,2687.761,2809.346,2755.07,2917.066,2605.945,2927.173,2696.556,2805.907,2961.176,2855.055,2871.155,2897.625,2764.656,2847.023,2801.679
00:15:00,3433.65,3448.955,3460.209,3324.772,3218.248,3310.608,3399.365,3457.978,3223.34,3003.206,3286.527,3173.471,3276.419,3098.068,3050.121,3166.872,3356.628,3102.221,3344.401,3324.947,3161.667,3309.281,3227.977,3083.264,3102.434,3177.128,3263.104,2536.19,2435.22,2457.418,2583.46,2640.442,2749.264,2578.784,2730.167,2785.291,2660.203,2859.659,2665.605,2905.27,2665.04,2799.409,2797.267,2664.186,2873.299,2837.806,2764.0,2790.162,2782.368
00:30:00,3411.992,3403.288,3465.649,3386.205,3294.955,3261.569,3403.177,3430.714,3251.392,2950.212,3238.047,3157.585,3286.91,3084.359,3055.657,3203.692,3377.105,3139.184,3328.633,3304.141,3164.876,3294.443,3224.17,3037.807,3123.106,3152.73,3275.031,2592.413,2354.213,2396.61,2514.806,2560.525,2664.7,2581.106,2601.354,2734.558,2614.793,2795.11,2613.328,2915.444,2721.347,2740.228,2769.692,2710.849,2876.344,2901.503,2686.012,2904.954,2836.39
00:45:00,3365.521,3418.626,3389.365,3398.038,3254.56,3310.751,3391.267,3396.627,3249.271,2935.458,3258.681,3109.903,3361.961,3064.234,3108.632,3203.384,3411.22,3026.66,3373.989,3213.586,3125.861,3278.965,3157.821,3041.592,3114.351,3202.27,3192.917,2417.136,2346.135,2398.273,2481.408,2587.273,2661.763,2551.325,2565.405,2556.73,2698.797,2827.075,2661.839,2898.24,2660.612,2673.332,2805.138,2685.831,2906.041,2840.922,2710.67,2720.531,2756.44
01:00:00,3300.851,3412.042,3427.241,3372.934,3240.237,3215.8,3382.555,3307.843,3184.813,2918.315,3142.44,3092.965,3355.697,3098.437,3050.286,2989.328,3311.678,3044.54,3289.767,3237.797,3124.78,3252.289,3079.304,3080.929,3072.861,3180.988,2923.48,2485.576,2357.615,2458.347,2434.778,2550.874,2695.899,2527.849,2587.992,2622.283,2593.519,2790.69,2698.76,2782.208,2614.411,2562.564,2766.099,2705.896,2754.602,2697.765,2623.87,2813.295,2655.138
01:15:00,3299.163,3362.518,3315.883,3195.224,3234.624,3255.702,3319.784,3276.988,3090.074,2867.843,3157.295,3088.565,3297.019,3012.493,3029.606,2966.554,3356.007,3013.526,3325.978,3171.875,3139.045,3228.217,3060.162,3042.234,3164.043,3235.652,2917.143,2453.528,2328.695,2380.471,2457.237,2529.763,2625.469,2528.256,2601.658,2692.051,2641.787,2792.14,2631.12,2644.914,2611.539,2707.841,2803.494,2629.757,2792.642,2661.557,2671.343,2707.764,2706.64
01:30:00,3370.045,3339.112,3330.464,3268.666,3255.633,3229.046,3379.137,3340.135,3111.853,2853.443,3087.283,3065.264,3361.284,2990.092,2998.489,3058.673,3201.139,3109.468,3338.603,3204.829,3149.672,3158.412,3094.662,2959.375,2966.536,3151.225,2299.103,2462.97,2306.019,2376.988,2416.76,2567.563,2617.982,2538.52,2611.178,2662.057,2571.082,2824.779,2581.091,2671.511,2547.862,2588.649,2582.596,2549.771,2759.112,2600.296,2551.62,2676.603,2569.048
01:45:00,3316.868,3349.673,3364.331,3242.252,3224.253,3110.22,3379.892,3386.068,3047.787,2885.793,3116.773,3152.408,3350.649,2981.077,2931.27,3061.842,3287.804,3112.397,3401.027,3179.082,3104.056,3118.738,3120.907,2974.514,3004.57,3125.36,2258.332,2457.386,2338.8,2342.162,2418.993,2515.594,2506.451,2516.882,2604.894,2617.105,2538.333,2717.42,2570.101,2628.141,2550.987,2515.033,2566.243,2462.382,2673.301,2479.374,2572.678,2497.108,2631.414
02:00:00,3302.347,3307.996,3298.199,3293.26,3076.671,3077.03,3304.59,3369.065,2976.327,2872.263,3117.809,3120.321,3306.625,3085.291,2901.985,3006.6,3209.776,3059.49,3355.952,3168.004,3034.502,3098.059,3056.725,2967.737,2947.832,3040.768,2308.883,2466.442,2340.13,2292.95,2450.464,2437.188,2585.631,2521.113,2613.964,2654.04,2508.375,2697.153,2549.727,2646.889,2483.325,2557.417,2645.697,2527.974,2694.528,2571.747,2558.395,2504.243,2563.442
02:15:00,3269.115,3310.563,3289.121,3169.374,3013.81,3033.39,3257.025,3319.232,3076.971,2843.913,3078.992,2991.052,3170.509,3091.069,2917.953,2986.244,3212.571,3052.468,3383.172,3137.989,3051.164,3105.884,3146.385,2979.173,3021.567,3027.555,3368.795,2428.004,2338.613,2286.408,2437.169,2451.112,2551.212,2534.79,2556.382,2597.71,2545.722,2666.135,2572.022,2692.657,2484.684,2486.655,2626.163,1704.237,2720.014,2527.398,2573.28,2533.946,2633.07
