,Q-JW1-FRI,Q-JW2-FRI,Q-JW3-FRI,Q-JW4-FRI,F-JW1-FRI,F-JW2-FRI,F-JW3-FRI
0,3228.561,3137.901,3528.553,3212.099,2778.272,2927.173,2764.656
1,3218.248,3173.471,3344.401,3177.128,2749.264,2905.27,2764.0
2,3294.955,3157.585,3328.633,3152.73,2664.7,2915.444,2686.012
3,3254.56,3109.903,3373.989,3202.27,2661.763,2898.24,2710.67
4,3240.237,3092.965,3289.767,3180.988,2695.899,2782.208,2623.87
5,3234.624,3088.565,3325.978,3235.652,2625.469,2644.914,2671.343
6,3255.633,3065.264,3338.603,3151.225,2617.982,2671.511,2551.62
7,3224.253,3152.408,3401.027,3125.36,2506.451,2628.141,2572.678
8,3076.671,3120.321,3355.952,3040.768,2585.631,2646.889,2558.395
9,3013.81,2991.052,3383.172,3027.555,2551.212,2692.657,2573.28
10,3055.775,3012.449,3257.968,2992.348,2531.125,2595.051,2576.255
11,2991.988,2964.662,3190.079,3017.636,2535.865,2640.595,2582.543
12,3027.947,3011.859,3173.069,3047.488,2457.307,2605.91,2556.215
13,2964.493,2960.06,3000.383,2946.651,2473.498,2610.063,2539.038
14,2972.628,3028.508,3096.24,2962.621,2475.405,2462.723,2583.41
15,3014.213,2960.115,2927.221,2996.219,2436.274,2520.36,2499.682
16,2983.208,2994.352,2993.203,2966.822,2486.961,2513.551,2530.496
17,2983.582,2945.384,3041.552,2977.327,2522.018,2486.862,2514.322
18,3105.301,2970.105,2974.464,3012.297,2456.944,2514.039,2452.498
19,3059.49,2942.303,2910.586,3084.076,2403.751,2573.924,2526.657
20,3123.356,2993.949,2947.542,3128.308,2519.813,2608.909,2559.875
21,3127.755,3128.348,3172.675,3137.168,2616.742,2565.652,2690.655
22,3276.116,3203.033,3064.899,3235.242,2520.699,2770.218,2695.788
23,3247.876,3228.606,3192.704,3280.381,2621.536,2821.637,2677.573
24,3305.744,3183.558,3275.474,3267.612,2675.96,2848.79,2613.504
25,3069.815,2996.545,3130.834,3004.283,2581.207,2740.186,2534.956
26,2968.424,2948.716,2790.287,2776.527,1139.194,2597.78,2429.224
27,2947.47,2884.026,2829.854,2701.848,1294.702,2498.232,2378.467
28,2924.925,3047.53,2874.525,2912.934,1205.587,2590.442,2485.068
29,2969.288,2985.944,3030.051,2903.143,1214.039,2611.364,2416.065
30,3349.811,3171.121,3069.441,2982.721,1235.169,2601.499,2551.094
31,3470.654,3214.868,3149.191,3003.94,2659.823,2638.435,2674.906
32,3527.287,3313.017,3538.069,3412.453,2551.062,2865.725,2834.99
33,3804.121,3276.75,3508.551,3519.333,2883.844,3009.681,3062.003
34,3852.869,3281.839,3562.953,3653.339,2908.828,3274.753,3145.292
35,3846.267,3346.171,3547.318,3791.134,2903.03,3345.575,3218.4
36,3948.769,3790.619,3680.359,3829.074,2895.855,3421.454,3245.759
37,4151.006,3810.784,3624.97,3890.855,3079.347,3353.338,3442.229
38,4203.336,3889.462,3855.487,3860.209,3071.588,3336.805,3307.226
39,4211.333,3947.982,3861.401,3985.577,3138.34,3518.048,3417.781
40,4241.849,3854.131,3998.431,3952.284,3129.377,3593.803,3457.08
41,4325.627,3938.328,3999.324,4046.933,3123.842,3625.004,3530.606
42,4306.236,3903.653,4026.718,4029.068,3118.555,3596.814,3547.115
43,4349.121,3870.606,3944.557,4026.178,3093.583,3617.252,3603.476
44,4324.609,3914.625,4007.08,4101.505,3222.056,3610.55,3581.51
45,4408.946,3925.5,4067.409,4041.524,3160.945,3722.041,3660.805
46,4495.62,3980.951,4230.171,4033.096,3190.82,3910.459,3609.254
47,4443.379,4066.921,4158.673,3979.015,3197.157,3896.052,3692.834
48,4445.2,4071.15,4182.04,4069.214,2997.056,3781.484,3612.246
49,4365.779,3975.928,3976.147,4032.615,2924.027,3721.496,3515.713
50,4367.116,4057.284,3969.719,3991.072,2845.853,3754.854,3511.809
51,4374.186,4031.289,3989.091,3941.622,2871.484,3775.547,3594.076
52,4405.437,4039.361,4031.615,4105.874,2816.161,3769.051,3548.437
53,4466.94,4083.685,4029.789,4115.529,2687.312,3822.434,3644.482
54,4502.467,4092.579,4032.497,4146.617,2813.997,3747.1,3667.003
55,4496.075,4049.319,4183.234,4182.234,2766.28,3670.712,3708.636
56,4402.812,3989.95,4129.513,4198.945,2878.803,3858.08,3638.616
57,4383.858,4006.01,4206.284,4149.646,2753.935,3811.952,3598.364
58,4400.034,4025.866,4244.684,4153.409,2786.058,3786.978,3640.361
59,4315.238,4025.61,4215.16,4152.932,2706.262,3739.325,3674.857
60,4368.861,4043.526,4223.838,4200.981,2673.142,3728.972,3604.815
61,4381.113,4011.453,4156.412,4231.104,2768.517,3673.865,3713.13
62,4336.333,3967.595,4114.353,4247.762,2714.696,3627.669,3663.968
63,4389.871,4026.017,4069.695,4093.39,2650.792,3528.511,3609.882
64,4442.861,3928.782,4096.706,4074.63,2731.858,3525.234,3533.245
