,Q-JW1-MON,Q-JW2-MON,Q-JW3-MON,Q-JW4-MON,F-JW1-MON,F-JW2-MON,F-JW3-MON,F-JW4-MON
00:00:00,376.136,414.236,283.78,276.263,55.522,345.427,415.114,377.956
00:15:00,363.539,403.842,267.731,312.537,61.202,348.403,379.622,375.459
00:30:00,369.119,407.159,260.517,319.809,87.114,343.942,375.957,371.056
00:45:00,345.866,404.653,259.089,312.991,49.554,366.96,355.807,338.94
01:00:00,383.926,406.511,241.862,319.946,62.812,321.329,387.342,376.247
01:15:00,362.679,413.791,274.08,307.224,62.334,326.96,357.213,324.496
01:30:00,380.188,399.723,239.081,299.717,43.099,362.629,367.791,340.463
01:45:00,367.919,421.588,267.46,296.766,68.153,332.677,315.646,334.256
02:00:00,354.658,423.75,249.633,304.621,39.647,336.786,299.08,328.126
02:15:00,358.254,397.619,236.381,282.559,41.431,321.89,318.818,325.216
02:30:00,351.967,371.424,231.672,283.443,31.421,316.031,303.069,303.368
02:45:00,340.306,379.549,236.456,280.584,42.726,306.957,300.671,327.118
03:00:00,318.626,381.841,211.868,271.769,20.984,318.556,307.291,310.416
03:15:00,335.822,347.24,220.584,284.98,51.056,342.463,281.422,349.259
03:30:00,298.176,350.943,259.617,259.268,19.249,305.512,286.014,303.189
03:45:00,294.69,372.742,216.184,274.197,12.142,338.856,276.164,317.651
04:00:00,308.699,353.646,236.447,266.936,31.416,362.861,291.912,303.311
04:15:00,283.107,351.802,249.407,242.506,23.176,336.867,280.777,270.28
04:30:00,300.828,342.093,256.04,276.648,18.891,336.516,301.183,291.636
04:45:00,326.872,378.52,253.162,256.909,24.066,327.643,326.85,327.926
05:00:00,313.956,331.136,240.662,242.64,48.524,318.253,264.731,304.712
05:15:00,330.012,314.534,243.512,228.331,9.946,299.014,271.954,304.15
05:30:00,339.9,328.684,226.086,259.824,8.642,293.833,267.66,273.937
05:45:00,311.31,282.341,217.194,234.102,-20.97,311.359,271.938,309.998
06:00:00,306.117,289.501,230.588,279.449,35.036,340.707,303.31,293.748
06:15:00,331.968,287.14,234.462,262.21,30.867,369.959,302.129,258.93
06:30:00,299.681,288.957,175.202,260.703,10.703,288.847,309.876,231.361
06:45:00,303.05,251.083,152.268,208.46,-15.367,282.478,272.757,217.022
07:00:00,309.897,294.418,167.859,183.317,-25.234,246.05,251.956,268.686
07:15:00,281.852,269.25,226.728,220.611,-6.006,254.451,281.398,253.611
07:30:00,303.602,308.719,233.568,261.163,-6.532,248.776,289.103,288.181
07:45:00,320.193,351.263,334.773,289.842,6.571,264.866,356.921,303.961
08:00:00,403.274,439.211,415.162,334.231,22.047,278.584,415.307,325.388
08:15:00,438.114,474.219,415.94,382.023,54.383,258.407,436.171,411.034
08:30:00,476.1,498.17,462.624,416.334,67.017,281.243,473.849,473.682
08:45:00,483.32,539.417,448.753,433.092,98.413,253.65,546.231,514.641
09:00:00,490.143,568.527,478.647,442.082,127.512,261.799,533.886,539.33
09:15:00,554.449,588.676,464.481,526.656,182.943,313.72,530.104,543.476
09:30:00,639.092,591.486,507.558,586.529,182.494,312.569,569.519,591.127
09:45:00,643.768,630.263,584.52,592.946,159.682,341.588,605.669,605.642
10:00:00,643.237,610.709,595.117,570.854,163.558,314.862,578.444,611.213
10:15:00,633.692,642.386,605.682,574.871,163.353,333.337,600.327,661.948
10:30:00,651.34,662.771,626.713,577.849,185.196,335.04,635.513,683.831
10:45:00,664.809,682.072,638.353,582.426,192.598,357.0,645.363,696.093
11:00:00,736.483,660.991,640.054,582.36,188.641,349.988,684.374,690.671
11:15:00,708.731,651.668,634.121,607.291,177.634,368.428,701.096,700.55
11:30:00,710.053,652.542,624.293,658.11,188.841,350.53,677.538,693.049
11:45:00,698.101,693.072,637.934,642.566,205.943,337.284,652.517,678.107
12:00:00,696.504,694.407,612.966,653.408,205.68,338.166,679.688,677.257
12:15:00,677.651,659.378,601.292,619.204,208.193,352.648,685.272,659.998
12:30:00,729.433,608.561,618.096,612.14,213.984,377.928,704.973,682.069
12:45:00,692.341,658.407,633.791,594.641,219.28,380.959,695.17,673.686
13:00:00,715.04,665.332,686.869,619.339,207.302,378.677,733.523,672.439
13:15:00,709.891,669.971,690.368,606.411,180.786,363.156,744.786,646.518
13:30:00,722.383,689.006,714.921,602.271,183.026,351.172,689.442,657.919
13:45:00,737.947,697.733,720.213,601.174,198.018,345.038,678.266,670.116
14:00:00,740.624,704.624,713.63,603.443,199.458,337.911,686.511,653.268
14:15:00,731.204,704.452,714.402,616.083,221.579,353.502,690.937,665.559
14:30:00,717.881,707.936,724.68,607.68,210.238,358.428,662.628,660.538
14:45:00,697.769,700.11,718.497,610.798,220.052,348.727,651.247,678.441
15:00:00,701.024,696.439,723.614,587.687,212.717,354.981,655.776,690.296
15:15:00,708.682,675.701,751.021,595.891,201.33,337.781,662.644,669.066
15:30:00,692.113,675.536,765.052,602.413,189.492,314.78,642.207,627.642
15:45:00,675.663,683.806,754.419,593.371,200.933,306.964,686.343,672.042
16:00:00,671.804,698.879,760.246,589.828,245.972,316.65,643.053,656.693
16:15:00,651.46,669.147,703.193,571.293,234.027,333.158,598.778,649.106
16:30:00,662.606,652.604,577.594,541.778,203.0,343.246,560.139,627.114
16:45:00,513.104,586.458,569.544,514.93,118.693,323.744,510.279,558.138
17:00:00,455.278,478.096,492.536,507.096,119.561,333.561,483.873,498.046
17:15:00,441.043,469.973,509.579,492.377,139.846,304.207,483.526,447.164
17:30:00,431.38,453.111,395.964,457.804,164.566,311.977,411.421,456.342
17:45:00,387.857,403.888,379.853,430.444,126.117,301.277,352.077,422.79
18:00:00,391.311,395.683,360.883,432.297,127.434,299.259,334.068,407.523
18:15:00,433.46,435.113,379.178,440.853,127.288,300.941,359.341,417.472
18:30:00,427.858,436.732,396.803,456.056,151.097,348.969,393.146,452.877
18:45:00,425.261,423.768,450.127,445.653,160.822,352.793,487.661,530.227
19:00:00,423.404,416.996,464.967,448.204,157.718,360.547,478.072,496.4
19:15:00,440.713,409.407,451.668,441.479,142.087,338.382,475.437,506.486
19:30:00,421.593,432.347,479.928,435.882,138.949,349.786,467.998,517.814
19:45:00,438.813,410.958,454.803,443.211,138.203,337.108,479.553,533.92
20:00:00,430.461,423.904,464.263,450.873,148.699,346.347,471.949,510.497
20:15:00,424.558,429.186,440.731,462.306,137.611,351.204,484.546,495.158
20:30:00,416.27,430.164,460.391,459.002,142.323,373.679,449.949,506.437
20:45:00,420.06,477.063,452.631,471.318,155.96,354.129,460.469,497.161
21:00:00,441.508,457.867,477.926,483.258,149.954,368.896,452.069,487.743
21:15:00,422.923,447.721,380.13,498.166,141.313,384.179,400.352,459.76
21:30:00,424.823,436.3,326.009,416.617,161.016,366.664,432.3,465.467
21:45:00,458.49,474.171,352.237,349.697,116.347,365.867,404.663,449.181
22:00:00,455.299,445.65,350.777,313.698,136.839,390.358,432.992,439.958
22:15:00,425.493,488.434,336.65,346.966,125.782,381.246,401.243,409.273
22:30:00,414.087,478.464,338.062,314.609,98.417,389.408,437.41,422.832
22:45:00,400.17,470.351,310.382,308.791,125.129,404.352,428.177,402.934
23:00:00,374.276,418.637,304.682,288.818,115.036,384.083,404.998,439.352
23:15:00,394.536,342.99,294.928,315.488,117.048,420.389,402.866,439.943
23:30:00,383.209,321.154,316.132,271.11,122.089,390.772,382.556,422.828
23:45:00,384.464,333.224,291.447,298.622,113.829,394.246,402.878,428.02
