,P-JW1-SUN,P-JW2-SUN,P-JW3-SUN,P-JW4-SUN,P-FW1-SUN,P-FW2-SUN,P-FW3-SUN,P-FW4-SUN
00:00:00,3082.161,2889.863,2817.458,2135.992,3082.161,2889.863,2817.458,2135.992
00:15:00,3002.023,2831.269,2772.178,2109.343,3002.023,2831.269,2772.178,2109.343
00:30:00,2980.23,2741.191,2743.66,2046.676,2980.23,2741.191,2743.66,2046.676
00:45:00,2915.397,2737.191,2688.913,2045.269,2915.397,2737.191,2688.913,2045.269
01:00:00,2874.862,2708.741,2662.474,1999.159,2874.862,2708.741,2662.474,1999.159
01:15:00,2822.138,2715.091,2630.625,1970.389,2822.138,2715.091,2630.625,1970.389
01:30:00,2813.431,2711.502,2586.702,1947.837,2813.431,2711.502,2586.702,1947.837
01:45:00,2741.184,2625.723,2556.267,1939.401,2741.184,2625.723,2556.267,1939.401
02:00:00,2690.642,2595.004,2589.204,1900.359,2690.642,2595.004,2589.204,1900.359
02:15:00,2639.251,2545.858,2502.135,1836.211,2639.251,2545.858,2502.135,1836.211
02:30:00,2649.577,2505.575,2527.432,1852.391,2649.577,2505.575,2527.432,1852.391
02:45:00,2611.792,2449.456,2497.078,1870.782,2611.792,2449.456,2497.078,1870.782
03:00:00,2585.349,2413.246,2437.778,1826.439,2585.349,2413.246,2437.778,1826.439
03:15:00,2554.952,2419.28,2471.701,1816.752,2554.952,2419.28,2471.701,1816.752
03:30:00,2541.342,2350.605,2391.518,1794.969,2541.342,2350.605,2391.518,1794.969
03:45:00,2540.214,2327.666,2398.625,1826.219,2540.214,2327.666,2398.625,1826.219
04:00:00,2479.438,2353.587,2345.597,1799.731,2479.438,2353.587,2345.597,1799.731
04:15:00,2497.368,2309.648,2381.905,1814.03,2497.368,2309.648,2381.905,1814.03
04:30:00,2459.662,2306.301,2317.51,1832.654,2459.662,2306.301,2317.51,1832.654
04:45:00,2517.442,2337.286,2384.659,1861.247,2517.442,2337.286,2384.659,1861.247
05:00:00,2531.643,2344.625,2403.547,1843.256,2531.643,2344.625,2403.547,1843.256
05:15:00,2512.359,2348.77,2335.046,1730.124,2512.359,2348.77,2335.046,1730.124
05:30:00,2514.948,2352.717,2365.96,1780.681,2514.948,2352.717,2365.96,1780.681
05:45:00,2503.865,2339.692,2368.633,1783.094,2503.865,2339.692,2368.633,1783.094
06:00:00,2545.279,2343.08,2397.031,1839.582,2545.279,2343.08,2397.031,1839.582
06:15:00,2440.585,2369.138,2374.622,1733.365,2440.585,2369.138,2374.622,1733.365
06:30:00,2342.371,2216.338,2288.233,1706.46,2342.371,2216.338,2288.233,1706.46
06:45:00,2310.16,2149.843,2254.307,1704.698,2310.16,2149.843,2254.307,1704.698
07:00:00,2278.736,2134.219,2235.828,1740.436,2278.736,2134.219,2235.828,1740.436
07:15:00,2322.968,2199.449,2242.464,1705.377,2322.968,2199.449,2242.464,1705.377
07:30:00,2353.627,2231.663,2292.86,1752.868,2353.627,2231.663,2292.86,1752.868
07:45:00,2413.179,2262.711,2318.798,1768.748,2413.179,2262.711,2318.798,1768.748
08:00:00,2471.207,2316.873,2343.714,1827.331,2471.207,2316.873,2343.714,1827.331
08:15:00,2496.678,2342.538,2461.72,1850.611,2496.678,2342.538,2461.72,1850.611
08:30:00,2608.572,2476.365,2554.901,1907.718,2608.572,2476.365,2554.901,1907.718
08:45:00,2688.377,2526.547,2584.501,1944.772,2688.377,2526.547,2584.501,1944.772
09:00:00,2711.017,2530.638,2587.492,2012.677,2711.017,2530.638,2587.492,2012.677
09:15:00,2705.662,2550.83,2587.298,2081.39,2705.662,2550.83,2587.298,2081.39
09:30:00,2782.543,2572.82,2680.467,2087.74,2782.543,2572.82,2680.467,2087.74
09:45:00,2822.92,2635.958,2687.039,2105.599,2822.92,2635.958,2687.039,2105.599
10:00:00,2838.432,2694.832,2699.773,2113.253,2838.432,2694.832,2699.773,2113.253
10:15:00,2957.337,2769.238,2808.122,2118.897,2957.337,2769.238,2808.122,2118.897
10:30:00,2939.761,2759.648,2837.039,2190.533,2939.761,2759.648,2837.039,2190.533
10:45:00,2927.2,2757.468,2854.521,2224.526,2927.2,2757.468,2854.521,2224.526
11:00:00,2982.523,2747.76,2855.797,2127.78,2982.523,2747.76,2855.797,2127.78
11:15:00,3066.327,2846.113,3008.986,2243.553,3066.327,2846.113,3008.986,2243.553
11:30:00,3126.703,2923.552,2970.875,2302.078,3126.703,2923.552,2970.875,2302.078
11:45:00,3115.86,2985.339,2984.208,2291.979,3115.86,2985.339,2984.208,2291.979
12:00:00,3117.825,2967.922,3004.502,2301.542,3117.825,2967.922,3004.502,2301.542
12:15:00,3151.264,2939.844,3048.524,2335.332,3151.264,2939.844,3048.524,2335.332
12:30:00,3176.109,2968.657,3079.368,2356.598,3176.109,2968.657,3079.368,2356.598
12:45:00,3184.531,3028.218,3108.744,2332.79,3184.531,3028.218,3108.744,2332.79
13:00:00,3244.204,3074.289,3137.746,2332.131,3244.204,3074.289,3137.746,2332.131
13:15:00,3223.253,3111.618,3093.794,2331.927,3223.253,3111.618,3093.794,2331.927
13:30:00,3192.993,3087.594,3098.03,2373.119,3192.993,3087.594,3098.03,2373.119
13:45:00,3208.098,3124.459,3105.737,2382.918,3208.098,3124.459,3105.737,2382.918
14:00:00,3254.734,3101.108,3082.04,2387.22,3254.734,3101.108,3082.04,2387.22
14:15:00,3220.163,3079.081,3093.625,2415.138,3220.163,3079.081,3093.625,2415.138
14:30:00,3199.724,3145.69,3047.508,2401.158,3199.724,3145.69,3047.508,2401.158
14:45:00,3190.641,3143.922,2996.524,2424.443,3190.641,3143.922,2996.524,2424.443
15:00:00,3213.589,3141.502,2993.604,2399.002,3213.589,3141.502,2993.604,2399.002
15:15:00,3242.241,3089.415,2993.023,2349.447,3242.241,3089.415,2993.023,2349.447
15:30:00,3219.216,3076.103,2995.135,2383.297,3219.216,3076.103,2995.135,2383.297
15:45:00,3214.163,3036.69,3009.868,2369.957,3214.163,3036.69,3009.868,2369.957
16:00:00,3214.109,2974.784,3025.401,2369.741,3214.109,2974.784,3025.401,2369.741
16:15:00,3178.562,3013.034,2955.814,2306.318,3178.562,3013.034,2955.814,2306.318
16:30:00,3142.518,3016.772,3002.166,2300.345,3142.518,3016.772,3002.166,2300.345
16:45:00,3147.422,3008.873,2961.354,2314.35,3147.422,3008.873,2961.354,2314.35
17:00:00,3128.17,2946.696,2903.486,2291.903,3128.17,2946.696,2903.486,2291.903
17:15:00,3096.397,2929.241,2845.757,2300.197,3096.397,2929.241,2845.757,2300.197
17:30:00,3064.449,2946.902,2874.316,2333.166,3064.449,2946.902,2874.316,2333.166
17:45:00,3014.073,2897.61,2900.57,2235.668,3014.073,2897.61,2900.57,2235.668
18:00:00,3117.083,2991.528,2944.243,2296.072,3117.083,2991.528,2944.243,2296.072
18:15:00,3232.466,3068.789,3015.022,2340.818,3232.466,3068.789,3015.022,2340.818
18:30:00,3433.459,3237.281,3177.59,2445.777,3433.459,3237.281,3177.59,2445.777
18:45:00,3506.016,3413.663,3236.87,2509.984,3506.016,3413.663,3236.87,2509.984
19:00:00,3559.289,3522.902,3365.119,2587.865,3559.289,3522.902,3365.119,2587.865
19:15:00,3624.792,3527.938,3415.903,2575.556,3624.792,3527.938,3415.903,2575.556
19:30:00,3586.652,3584.234,3433.371,2617.855,3586.652,3584.234,3433.371,2617.855
19:45:00,3637.319,3624.503,3491.903,2609.74,3637.319,3624.503,3491.903,2609.74
20:00:00,3691.379,3569.207,3503.59,2622.699,3691.379,3569.207,3503.59,2622.699
20:15:00,3746.044,3645.453,3566.676,2603.161,3746.044,3645.453,3566.676,2603.161
20:30:00,3759.891,3602.32,3511.218,2600.407,3759.891,3602.32,3511.218,2600.407
20:45:00,3728.21,3618.89,3570.34,2589.074,3728.21,3618.89,3570.34,2589.074
21:00:00,3718.408,3578.02,3573.283,2640.794,3718.408,3578.02,3573.283,2640.794
21:15:00,3681.757,3578.46,3535.887,2613.537,3681.757,3578.46,3535.887,2613.537
21:30:00,3684.604,3519.879,3466.313,2639.149,3684.604,3519.879,3466.313,2639.149
21:45:00,3637.019,3519.372,3457.842,2543.507,3637.019,3519.372,3457.842,2543.507
22:00:00,3580.496,3435.95,3366.67,2539.834,3580.496,3435.95,3366.67,2539.834
22:15:00,3492.597,3370.543,3325.688,2497.578,3492.597,3370.543,3325.688,2497.578
22:30:00,3419.923,3294.324,3309.516,2429.194,3419.923,3294.324,3309.516,2429.194
22:45:00,3320.155,3207.117,3216.546,2356.743,3320.155,3207.117,3216.546,2356.743
23:00:00,3331.967,3146.559,3170.079,2291.08,3331.967,3146.559,3170.079,2291.08
23:15:00,3219.921,3066.248,3094.296,2243.332,3219.921,3066.248,3094.296,2243.332
23:30:00,3140.238,3024.335,3004.729,2231.645,3140.238,3024.335,3004.729,2231.645
23:45:00,3047.416,2985.418,2967.9,2155.176,3047.416,2985.418,2967.9,2155.176
