,Q-JW1-THU,Q-JW2-THU,Q-JW3-THU,Q-JW4-THU,F-JW1-THU,F-JW2-THU,F-JW3-THU,F-JW4-THU
0,3378.247,3314.181,3190.251,3166.526,2692.431,2605.945,2897.625,2857.688
1,3324.772,3286.527,3102.221,3102.434,2640.442,2665.605,2837.806,2867.708
2,3386.205,3238.047,3139.184,3123.106,2560.525,2613.328,2901.503,2845.686
3,3398.038,3258.681,3026.66,3114.351,2587.273,2661.839,2840.922,2800.725
4,3372.934,3142.44,3044.54,3072.861,2550.874,2698.76,2697.765,2777.566
5,3195.224,3157.295,3013.526,3164.043,2529.763,2631.12,2661.557,2799.022
6,3268.666,3087.283,3109.468,2966.536,2567.563,2581.091,2600.296,2771.864
7,3242.252,3116.773,3112.397,3004.57,2515.594,2570.101,2479.374,2728.662
8,3293.26,3117.809,3059.49,2947.832,2437.188,2549.727,2571.747,2697.51
9,3169.374,3078.992,3052.468,3021.567,2451.112,2572.022,2527.398,2708.874
10,3221.884,3038.35,3078.051,2896.219,2392.417,2577.237,2612.329,2717.295
11,3127.457,3025.894,3099.878,2931.204,2401.423,2525.77,2567.264,2689.087
12,3165.45,3038.839,3006.996,2964.254,2384.244,2492.974,2593.908,2652.454
13,3096.895,3021.461,3082.333,3016.053,2357.197,2524.91,2527.266,2724.151
14,3153.248,2988.909,3071.174,2976.271,2357.438,2433.422,2493.461,2691.429
15,3099.813,2955.954,2976.334,2969.955,2301.919,2491.238,2531.467,2699.881
16,3092.507,2975.725,2985.632,2916.654,2294.441,2471.813,2482.033,2574.763
17,3182.966,2980.691,3079.259,2985.741,2271.929,2507.115,2550.964,2621.137
18,3179.045,3008.73,2979.969,3027.62,2296.717,2521.032,2477.434,2602.408
19,3167.684,3043.2,2991.972,2996.13,2318.355,2577.431,2466.17,2547.127
20,3149.377,3014.527,3055.399,3137.948,2392.312,2575.213,2553.297,2652.651
21,3287.444,3161.985,3169.2,3116.203,2381.741,2594.431,2638.201,2665.757
22,3183.993,3133.283,3072.103,3117.978,2389.228,2531.447,2586.627,2681.214
23,3224.488,3145.987,3138.212,3206.702,2467.327,2530.876,2586.802,2738.29
24,3206.744,3222.616,3160.65,3200.228,2446.452,2570.447,2682.436,2772.045
25,3094.57,3119.446,2998.4,3174.649,2420.175,2595.801,2642.207,2524.866
26,2978.877,2827.875,2871.733,2874.455,2199.436,2374.459,2482.696,2354.756
27,2850.193,2789.151,2846.033,2777.157,2241.457,2326.275,2451.402,2432.171
28,2893.072,2783.961,2770.389,2807.917,2279.339,2367.673,2449.485,2469.106
29,2914.644,2929.819,2931.636,2746.892,2264.294,2411.847,2435.522,2496.867
30,3007.05,2950.668,2917.989,3151.398,2274.83,2222.632,2557.168,2616.591
31,3279.27,3033.368,3032.415,3160.657,2371.082,2731.426,2583.126,2847.211
32,2432.047,3433.708,3253.528,3244.654,2457.896,2906.755,2721.063,2933.994
33,3356.972,3537.677,3351.713,3288.274,2486.636,2900.355,2932.426,3189.885
34,3290.382,3577.616,3396.669,3654.044,2607.139,3068.27,3061.024,3175.114
35,3405.639,3714.841,3578.19,3670.7,2949.448,3048.494,3236.465,
36,3443.663,3952.633,3631.652,3868.242,3027.943,3135.034,3224.971,
37,3416.391,3930.402,3630.733,3847.412,3057.04,3149.663,3354.775,
38,3541.138,3954.673,3650.041,3870.82,3139.882,3343.115,3353.844,
39,3572.484,4106.727,3696.152,3881.022,3160.8,3414.027,3389.182,
40,3624.943,4099.389,3657.895,3804.64,3143.539,3423.979,3439.791,
41,3691.792,4058.945,3751.148,4021.955,3140.255,3424.786,3536.346,
42,3815.989,4059.185,3687.891,4056.797,3150.562,3451.228,3650.413,
43,3785.767,4031.519,3776.188,4174.231,3273.486,3407.031,3619.723,
44,3850.412,4056.382,3798.396,4190.241,3257.099,3512.454,3786.533,
45,3678.842,4257.722,3878.562,4161.856,3266.492,3551.628,3722.872,
46,3807.173,4255.059,3874.221,4175.568499999999,3257.131,3515.655,3709.186,
47,3822.812,4175.363,3896.971,4189.281,3346.621,3600.658,3688.637,
48,3837.199,4245.139,3901.196,4268.901,3270.191,3700.542,3748.473,
49,3798.868,4195.048,3935.143,4170.017,3270.86,3657.727,3646.825,
50,3833.448,4264.281,4009.92,4168.772,3261.186,3628.274,3652.799,
51,3920.649,4207.742,3956.011,4166.32,3281.319,3600.992,3676.031,
52,3972.298,4186.621,3988.135,4250.729,3227.017,3734.023,3758.447,
53,3974.206,4194.828,4099.826,4244.071,3192.285,3657.828,3779.784,
54,3924.467,4153.556,4169.931,4211.661,3267.353,3773.342,3720.896,
55,3957.207,4201.328,4189.739,4343.848,3345.028,3781.819,3743.172,
56,3904.016,4136.538,4161.758,4302.143,3275.399,3775.908,3731.565,
57,3911.95,4049.056,4198.372,4309.747,3302.46,3783.141,3758.602,
58,3910.747,3976.504,4203.819,4314.472,3228.003,3866.389,3676.912,
59,3934.522,3975.173,4110.058,4263.971,3341.275,3713.438,3681.876,
60,3907.74,4079.134,4193.79,4190.927,3365.212,3794.855,3752.614,
61,3981.141,4162.531,4179.131,4320.384,3276.528,3807.434,3729.229,
62,3916.211,4042.528,4127.075,4313.303,3296.558,3687.259,3661.864,
63,3906.621,4069.898,4172.015,4367.174,3305.923,3748.998,3658.583,
64,3780.88,4010.894,4174.625,4323.608,3203.308,3674.762,3675.823,
65,3821.191,4002.045,4098.253,3981.249,3239.62,3551.104,3632.913,
66,3675.575,3905.539,4024.372,3883.347,3177.804,3409.406,3408.404,
67,3692.652,3549.341,3949.632,3875.284,3157.045,3475.34,3425.435,
68,3558.604,3620.278,3849.343,3756.469,3187.92,3264.045,3254.97,
69,3563.775,3578.924,3873.907,3639.634,3123.799,3195.301,3260.787,
70,3531.622,3583.698,3873.303,3624.354,3050.777,3160.047,3284.649,
71,3573.496,3574.472,3507.08,3547.149,2974.37,3069.438,3155.122,
72,3643.411,3636.542,3620.804,3590.527,2952.616,3080.669,3161.698,
73,3899.877,3768.843,3898.786,3824.926,3123.58,3192.527,3146.896,
74,4013.227,4032.821,4117.411,4160.456,3283.02,3344.002,3439.623,
75,4020.634,3912.786,4144.644,4047.026,3277.203,3543.621,3593.531,
76,3996.113,3910.823,4069.683,4126.536,3316.055,3510.047,3619.691,
77,3901.277,3900.252,3975.632,4027.519,3275.082,3496.582,3460.969,
78,3964.662,3952.95,3976.666,3977.251,3254.037,3401.983,3494.205,
79,3915.879,3984.845,4001.013,3997.958,3163.423,3375.314,3484.174,
80,3874.161,3976.394,3908.43,3946.948,3234.324,3395.755,3511.714,
81,3906.717,3912.841,3920.778,4031.667,3138.913,3337.735,3388.115,
82,3907.416,3925.902,3971.648,3996.062,3149.842,3284.628,3230.26,
83,3865.135,3948.265,3935.658,3929.42,3081.641,3302.296,3241.188,
84,3817.668,3856.453,3883.382,3950.753,2882.539,3304.305,3201.375,
85,3802.062,3832.248,3669.844,3954.821,2976.117,3180.474,3205.57,
86,3717.134,3725.303,3667.108,3865.0,2938.877,3178.992,3265.328,
87,3691.948,3672.409,3571.661,3476.221,2938.922,3181.33,3164.021,
88,3533.085,3344.56,3607.19,3362.507,2954.746,3199.496,3136.006,
89,3497.732,3298.754,3613.308,3376.334,3007.482,3147.366,3101.264,
90,3541.282,3243.087,3480.395,3441.049,2835.366,3112.152,2912.438,
91,3572.512,3260.244,3496.527,3404.404,2888.369,3079.406,2891.146,
92,3495.58,3175.019,3551.369,3329.37,2888.398,3022.287,2893.921,
93,3566.577,3271.68,3510.516,3291.524,2946.312,2914.416,2880.243,
94,3538.117,3255.776,3587.83,3261.906,2784.375,3028.679,2785.664,
95,3495.171,3215.843,3526.907,3206.223,2797.293,2919.906,2797.661,
