,Q-JW1-TUE,Q-JW2-TUE,Q-JW3-TUE,Q-JW4-TUE,F-JW1-TUE,F-JW2-TUE,F-JW3-TUE,F-JW4-TUE
0,3341.158,3360.791,3170.661,3152.452,2531.787,2755.07,2855.055,2930.388
1,3448.955,3223.34,3166.872,3227.977,2457.418,2660.203,2664.186,2949.571
2,3403.288,3251.392,3203.692,3224.17,2396.61,2614.793,2710.849,2939.777
3,3418.626,3249.271,3203.384,3157.821,2398.273,2698.797,2685.831,2915.628
4,3412.042,3184.813,2989.328,3079.304,2458.347,2593.519,2705.896,2873.399
5,3362.518,3090.074,2966.554,3060.162,2380.471,2641.787,2629.757,2741.872
6,3339.112,3111.853,3058.673,3094.662,2376.988,2571.082,2549.771,2639.127
7,3349.673,3047.787,3061.842,3120.907,2342.162,2538.333,2462.382,2705.601
8,3307.996,2976.327,3006.6,3056.725,2292.95,2508.375,2527.974,2714.902
9,3310.563,3076.971,2986.244,3146.385,2286.408,2545.722,1704.237,2685.175
10,3292.607,2950.238,3046.791,3085.176,2194.476,2561.98,1623.1,2690.399
11,3344.591,2957.287,2929.631,3042.702,2214.019,2547.21,2629.941,2680.14
12,3262.054,2991.205,3020.118,3033.409,2139.38,2509.226,2519.506,2610.67
13,3205.337,2987.566,2952.338,2967.586,2132.34,2539.654,2468.401,2656.871
14,3205.4,2937.151,2941.603,3016.941,2052.314,2402.615,2374.124,2587.879
15,3206.027,2935.769,2946.286,2960.354,2084.867,2495.293,2548.964,2573.315
16,3139.006,2917.265,2924.655,2959.064,2138.185,2422.586,2514.262,2533.035
17,3209.169,2966.167,2963.377,2997.938,2067.145,2451.633,2536.167,2569.878
18,3249.425,2912.252,2866.089,3038.135,2117.369,2384.422,2521.015,2555.022
19,3261.589,2915.809,2964.234,3038.216,2020.034,2436.023,2510.312,2614.222
20,3342.839,2977.263,2933.229,3158.754,2193.259,2410.187,2587.66,2698.737
21,3374.324,3105.481,3079.179,3097.425,2156.396,2406.892,2704.108,2780.221
22,3364.228,3067.194,3162.618,3155.089,2333.164,2445.902,2708.379,2727.591
23,3377.392,3111.05,3134.992,3110.746,2267.604,2431.682,2724.602,2767.743
24,3397.073,3069.443,3128.072,3036.27,2367.316,2483.546,2783.389,2747.355
25,3244.717,2973.669,3010.203,3149.699,2272.014,2326.131,2596.873,2721.728
26,3112.031,2881.596,2843.855,2863.245,2108.946,2179.825,2616.498,2519.186
27,3087.543,2803.993,2713.069,2758.774,1993.81,2067.376,2547.643,2418.068
28,3126.944,2744.691,2814.552,2731.966,2160.637,2072.84,2569.893,2476.244
29,3138.066,2857.628,2799.609,2771.924,2035.635,2030.574,2624.035,2583.882
30,3285.845,2879.164,2855.592,3083.01,2164.972,1965.0,2696.942,2541.06
31,3285.727,3015.057,3011.441,3153.691,2256.656,2061.353,2781.837,2909.229
32,3407.573,3462.377,3357.16,3317.56,2215.513,2079.314,2914.606,2853.962
33,3549.891,2096.328,3376.077,3253.278,2445.077,2114.83,3020.976,3012.519
34,3527.021,1925.627,3442.63,3410.093,2726.232,2238.609,3162.409,3217.872
35,3580.97,2001.343,3594.737,3728.677,2862.118,2282.062,3312.51,3199.768
36,3918.787,2064.542,3918.291,3900.215,2833.426,2278.32,3358.048,3275.299
37,3885.184,2107.0,3922.357,3889.782,2927.272,2290.861,3346.29,3326.297
38,3898.504,3871.13,3991.011,3926.634,2896.8,2315.583,3448.505,3511.204
39,4023.198,3922.742,3950.328,3939.359,2920.486,2444.434,3554.154,3597.966
40,4120.435,3951.584,3988.267,3874.855,3123.818,2662.007,3566.572,3658.794
41,4068.282,3995.109,4060.469,4014.693,3111.304,2697.819,3682.795,3722.727
42,4152.835,4085.658,4088.924,4063.858,3098.434,2699.922,3677.283,3581.278
43,4204.068,4056.261,4078.975,4061.593,3090.878,2742.304,3806.156,3849.655
44,4260.201,4064.347,4125.001,3919.156,3027.196,2759.113,3725.449,3879.802
45,4213.318,4110.39,4241.133,3960.834,3104.231,2752.275,3702.749,3879.81
46,4194.925,4188.111,4280.21,3977.161,3156.386,2719.437,3620.708,3895.647
47,4201.295,4157.036,4374.541,3977.294,3104.585,2744.226,3705.32,3942.52
48,4197.414,4108.749,4227.662,3987.049,3164.553,2830.416,3686.036,3873.789
49,4162.016,4023.938,4229.22,4119.864,3212.812,2760.389,3640.396,3904.944
50,4157.619,4090.345,4322.592,4054.124,3142.776,2723.042,3643.715,3839.802
51,4151.786,4067.898,4386.352,4113.749,3097.167,2761.951,3712.162,3864.518
52,4056.072,4100.858,4338.692,3985.981,3297.445,2655.301,3736.76,3858.429
53,4119.326,4024.816,4390.061,4158.927,3263.067,2759.958,3672.084,3830.746
