,Q-JW1-WED,Q-JW2-WED,Q-JW3-WED,Q-JW4-WED,F-JW1-WED,F-JW2-WED,F-JW3-WED,F-JW4-WED
0,3672.594,3017.858,3406.912,3218.206,2563.081,2917.066,2871.155,2978.301
1,3460.209,3003.206,3356.628,3083.264,2583.46,2859.659,2873.299,3048.398
2,3465.649,2950.212,3377.105,3037.807,2514.806,2795.11,2876.344,3022.454
3,3389.365,2935.458,3411.22,3041.592,2481.408,2827.075,2906.041,2993.71
4,3427.241,2918.315,3311.678,3080.929,2434.778,2790.69,2754.602,3024.101
5,3315.883,2867.843,3356.007,3042.234,2457.237,2792.14,2792.642,2937.089
6,3330.464,2853.443,3201.139,2959.375,2416.76,2824.779,2759.112,2891.023
7,3364.331,2885.793,3287.804,2974.514,2418.993,2717.42,2673.301,2825.821
8,3298.199,2872.263,3209.776,2967.737,2450.464,2697.153,2694.528,2807.616
9,3289.121,2843.913,3212.571,2979.173,2437.169,2666.135,2720.014,2774.984
10,3295.76,2888.975,3209.24,3038.919,2390.089,2764.427,2724.773,2785.514
11,3329.64,2832.441,3195.58,2968.506,2405.311,2749.836,2723.605,2734.093
12,3249.858,2814.185,3070.667,3042.571,2387.988,2700.24,2686.594,2733.136
13,3322.291,2806.077,3064.878,2962.094,2398.658,2712.353,2655.378,2711.994
14,3138.405,2819.819,3146.145,2989.495,2387.401,2715.813,2600.668,2673.412
15,3149.666,2816.507,3073.506,2969.881,2289.015,2645.138,2628.691,2715.606
16,3126.671,2781.746,3040.856,2868.919,2281.077,2606.801,2619.174,2767.49
17,3134.809,2841.538,3148.623,2878.027,2285.063,2674.886,2624.415,2711.038
18,3221.944,2814.678,3116.883,2928.005,2235.977,2650.412,2599.775,2659.572
19,3144.231,2749.256,3133.666,2893.388,2337.593,2548.076,2541.355,2715.456
20,3191.727,2853.205,3145.673,2956.388,2421.785,2641.441,2794.173,2866.601
21,3378.112,2816.754,3258.363,3035.696,2354.824,2657.25,2743.021,2872.98
22,3380.299,2796.44,3234.919,3152.579,2370.329,2616.893,2846.635,2828.023
23,3356.446,2866.841,3227.256,3120.079,2386.036,2692.573,2597.73,2755.462
24,3269.224,2982.447,3240.343,3113.475,2352.741,2725.932,2820.854,2884.57
25,3226.0,2869.098,3217.931,3016.929,2277.85,2572.684,2812.504,2808.318
26,2975.733,2641.059,3011.523,2747.199,2128.039,2433.846,2745.374,2685.041
27,2977.228,2595.717,2890.698,2737.512,2109.962,2431.702,2662.718,2547.665
28,2988.579,2683.41,2910.591,2813.92,2107.184,2494.907,2593.05,2589.04
29,3030.268,2758.151,2875.32,2761.956,2176.148,2553.788,2882.119,2595.335
30,3099.621,2759.359,3065.401,2897.317,2151.206,2532.474,2908.539,2710.224
31,3176.417,2934.443,3054.768,2876.035,2187.804,2612.984,2928.361,2599.08
32,3323.497,2940.222,3398.866,3385.715,2438.837,2770.495,3168.266,2863.097
33,3501.16,2868.609,3456.535,3396.386,2420.026,2836.043,3390.848,2892.623
34,3561.31,3549.809,3579.283,3480.654,2546.498,2964.707,3552.578,3080.036
35,3675.172,3691.869,3865.695,3478.965,2640.868,2920.433,3591.411,3221.801
36,3765.71,3827.267,3926.166,3485.801,2636.783,3002.171,3751.341,3250.409
37,3817.412,3886.019,3986.662,3649.799,2766.737,3027.875,3791.62,3394.308
38,3810.241,3837.626,3997.982,3938.26,2996.34,3035.21,3856.358,3371.842
39,3828.973,3868.859,4058.919,3968.311,3027.344,3108.049,3925.6,3432.357
40,3874.16,3905.188,4022.495,4000.846,3124.136,3111.628,3899.346,3468.024
41,3896.019,3998.652,3992.228,3960.013,3115.403,3146.165,4032.543,3583.876
42,3913.698,3988.908,4096.132,4001.212,3120.024,2512.117,4050.735,3588.808
43,3955.175,4014.61,4126.543,3982.953,3063.849,3119.075,4154.721,3593.34
44,3983.707,4045.857,4066.696,4044.253,3137.741,3146.771,4183.708,3615.246
45,3954.11,4017.764,4049.443,4011.429,3093.835,3167.167,4210.263,3919.255
46,3923.777,4206.283,4093.126,3952.883,3093.065,3234.134,4225.292,3714.486
47,3776.919,4168.414,3996.786,3941.103,2956.737,3343.083,4104.331,3658.565
48,3678.719,4192.332,4017.105,3910.447,3013.919,3447.654,4179.087,3625.453
49,3847.851,4231.892,4128.875,4180.919,3233.991,3622.39,4170.344,3830.744
50,3853.589,4194.64,4095.059,4238.365,3130.751,3702.881,4186.945,3791.879
51,3920.616,4310.32,4177.545,4215.477,3214.836,4102.557,4202.122,3832.676
