,P-JW1-FRI,P-JW2-FRI,P-JW3-FRI,P-JW4-FRI
00:00:00,2973.446,2722.92,2972.369,2889.45
00:15:00,2887.63,2713.214,2974.052,2828.365
00:30:00,2817.67,2673.573,2871.585,2749.29
00:45:00,2796.38,2650.744,2864.257,2759.222
01:00:00,2775.842,2587.968,2807.604,2676.373
01:15:00,2715.308,2589.223,2766.959,2690.353
01:30:00,2692.112,2569.223,2700.929,2592.028
01:45:00,2596.159,2556.903,2712.244,2569.865
02:00:00,2644.549,2534.152,2643.831,2526.556
02:15:00,2591.932,2533.377,2637.679,2523.104
02:30:00,2573.768,2501.344,2556.32,2480.093
02:45:00,2544.504,2502.429,2598.707,2464.047
03:00:00,2538.038,2452.367,2545.602,2481.809
03:15:00,2533.32,2475.196,2519.373,2449.192
03:30:00,2485.248,2419.933,2486.824,2423.362
03:45:00,2480.013,2424.478,2453.378,2387.359
04:00:00,2475.206,2365.64,2450.645,2442.415
04:15:00,2490.971,2390.704,2458.474,2362.66
04:30:00,2511.554,2454.981,2496.078,2409.888
04:45:00,2527.352,2463.881,2522.316,2479.557
05:00:00,2509.339,2519.276,2563.774,2458.994
05:15:00,2613.118,2531.489,2599.329,2525.084
05:30:00,2644.937,2615.325,2635.841,2574.281
05:45:00,2670.021,2604.284,2711.13,2691.855
06:00:00,2709.304,2720.673,2786.902,2682.774
06:15:00,2797.605,2771.847,2764.926,2743.834
06:30:00,2776.61,2725.684,2776.546,2747.379
06:45:00,2855.953,2842.151,2751.417,2723.192
07:00:00,2793.763,2849.697,2775.812,2735.074
07:15:00,2780.396,2848.984,2831.751,2780.919
07:30:00,2900.349,2940.568,2832.298,2792.686
07:45:00,2939.707,2913.594,2868.731,2808.808
08:00:00,2981.66,2889.493,2814.314,2846.142
08:15:00,3072.819,2925.766,2968.819,2962.028
08:30:00,3100.078,2967.199,3011.86,3051.919
08:45:00,3176.45,3018.02,3129.406,3105.591
09:00:00,3275.087,3132.921,3150.325,3154.746
09:15:00,3265.434,3203.102,3170.913,3180.91
09:30:00,3289.091,3200.944,3275.385,3226.645
09:45:00,3325.581,3289.038,3309.074,3218.667
10:00:00,3351.11,3327.954,3350.216,3238.365
10:15:00,3409.257,3341.14,3389.274,3334.072
10:30:00,3460.671,3406.191,3404.906,3438.896
10:45:00,3509.276,3386.917,3347.974,3430.842
11:00:00,3540.679,3458.858,3408.609,3476.452
11:15:00,3567.444,3450.009,3398.339,3481.719
11:30:00,3611.13,3453.028,3470.218,3509.069
11:45:00,3599.967,3460.906,3463.403,3474.382
12:00:00,3623.672,3503.325,3486.605,3478.254
12:15:00,3697.772,3502.842,3413.986,3511.707
12:30:00,3694.943,3549.203,3369.425,3550.658
12:45:00,3651.882,3556.706,3390.042,3569.891
13:00:00,3594.063,3557.773,3465.173,3489.081
13:15:00,3594.96,3554.879,3459.942,3484.641
13:30:00,3549.121,3542.74,3489.638,3462.979
13:45:00,3556.736,3578.492,3485.937,3533.362
14:00:00,3608.458,3628.373,3511.946,3547.28
14:15:00,3537.559,3489.011,3505.599,3535.806
14:30:00,3566.621,3524.799,3604.319,3539.418
14:45:00,3598.548,3498.991,3597.121,3539.39
15:00:00,3648.754,3630.298,3564.966,3528.13
15:15:00,3579.403,3554.834,3548.99,3576.04
15:30:00,3628.198,3547.756,3486.157,3577.966
15:45:00,3643.595,3509.016,3531.645,3601.761
16:00:00,3675.912,3467.613,3502.274,3560.436
16:15:00,3625.253,3411.411,3462.354,3481.767
16:30:00,3585.258,3352.678,3394.803,3414.577
16:45:00,3433.86,3262.901,3313.45,3358.441
17:00:00,3277.934,3161.405,3200.682,3240.752
17:15:00,3199.098,3118.828,3083.456,3109.976
17:30:00,3158.148,3096.452,2998.601,3143.08
17:45:00,3149.439,3035.888,3002.352,3152.787
18:00:00,3296.19,3137.791,3081.64,3239.349
18:15:00,3427.448,3251.79,3245.906,3329.352
18:30:00,3552.746,3447.542,3421.964,3554.312
18:45:00,3620.012,3509.329,3451.64,3769.127
19:00:00,3614.287,3543.383,3513.86,3776.43
19:15:00,3609.724,3521.716,3464.917,3766.771
19:30:00,3642.88,3559.83,3495.442,3727.412
19:45:00,3673.254,3598.433,3518.509,3639.996
20:00:00,3729.895,3552.578,3542.578,3627.689
20:15:00,3739.279,3520.073,3509.259,3530.943
20:30:00,3739.719,3616.189,3520.631,3561.389
20:45:00,3723.595,3616.513,3604.823,3569.862
21:00:00,3685.524,3580.312,3560.184,3499.002
21:15:00,3661.684,3504.293,3496.52,3509.998
21:30:00,3700.463,3542.23,3441.327,3500.976
21:45:00,3639.228,3505.304,3397.834,3510.891
22:00:00,3557.938,3414.197,3420.822,3475.002
22:15:00,3577.513,3439.549,3311.428,3352.375
22:30:00,3539.286,3334.127,3256.212,3192.554
22:45:00,3312.257,3246.13,3150.631,3098.667
23:00:00,3303.048,3183.747,3125.027,3113.472
23:15:00,3206.821,3170.213,3150.12,3025.615
23:30:00,3176.438,3101.932,3066.338,2951.658
23:45:00,3129.727,3072.321,2989.131,2957.943
