,Q-JW1-FRI,Q-JW2-FRI,Q-JW3-FRI,Q-JW4-FRI
0,3228.561,3137.901,3528.553,3212.099
1,3218.248,3173.471,3344.401,3177.128
2,3294.955,3157.585,3328.633,3152.73
3,3254.56,3109.903,3373.989,3202.27
4,3240.237,3092.965,3289.767,3180.988
5,3234.624,3088.565,3325.978,3235.652
6,3255.633,3065.264,3338.603,3151.225
7,3224.253,3152.408,3401.027,3125.36
8,3076.671,3120.321,3355.952,3040.768
9,3013.81,2991.052,3383.172,3027.555
10,3055.775,3012.449,3257.968,2992.348
11,2991.988,2964.662,3190.079,3017.636
12,3027.947,3011.859,3173.069,3047.488
13,2964.493,2960.06,3000.383,2946.651
14,2972.628,3028.508,3096.24,2962.621
15,3014.213,2960.115,2927.221,2996.219
16,2983.208,2994.352,2993.203,2966.822
17,2983.582,2945.384,3041.552,2977.327
18,3105.301,2970.105,2974.464,3012.297
19,3059.49,2942.303,2910.586,3084.076
20,3123.356,2993.949,2947.542,3128.308
21,3127.755,3128.348,3172.675,3137.168
22,3276.116,3203.033,3064.899,3235.242
23,3247.876,3228.606,3192.704,3280.381
24,3305.744,3183.558,3275.474,3267.612
25,3069.815,2996.545,3130.834,3004.283
26,2968.424,2948.716,2790.287,2776.527
27,2947.47,2884.026,2829.854,2701.848
28,2924.925,3047.53,2874.525,2912.934
29,2969.288,2985.944,3030.051,2903.143
30,3349.811,3171.121,3069.441,2982.721
31,3470.654,3214.868,3149.191,3003.94
32,3527.287,3313.017,3538.069,3412.453
33,3804.121,3276.75,3508.551,3519.333
34,3852.869,3281.839,3562.953,3653.339
35,3846.267,3346.171,3547.318,3791.134
36,3948.769,3790.619,3680.359,3829.074
37,4151.006,3810.784,3624.97,3890.855
38,4203.336,3889.462,3855.487,3860.209
39,4211.333,3947.982,3861.401,3985.577
40,4241.849,3854.131,3998.431,3952.284
41,4325.627,3938.328,3999.324,4046.933
42,4306.236,3903.653,4026.718,4029.068
43,4349.121,3870.606,3944.557,4026.178
44,4324.609,3914.625,4007.08,4101.505
45,4408.946,3925.5,4067.409,4041.524
46,4495.62,3980.951,4230.171,4033.096
47,4443.379,4066.921,4158.673,3979.015
48,4445.2,4071.15,4182.04,4069.214
49,4365.779,3975.928,3976.147,4032.615
50,4367.116,4057.284,3969.719,3991.072
51,4374.186,4031.289,3989.091,3941.622
52,4405.437,4039.361,4031.615,4105.874
53,4466.94,4083.685,4029.789,4115.529
54,4502.467,4092.579,4032.497,4146.617
55,4496.075,4049.319,4183.234,4182.234
56,4402.812,3989.95,4129.513,4198.945
57,4383.858,4006.01,4206.284,4149.646
58,4400.034,4025.866,4244.684,4153.409
59,4315.238,4025.61,4215.16,4152.932
60,4368.861,4043.526,4223.838,4200.981
61,4381.113,4011.453,4156.412,4231.104
62,4336.333,3967.595,4114.353,4247.762
63,4389.871,4026.017,4069.695,4093.39
64,4442.861,3928.782,4096.706,4074.63
65,4365.534,3883.604,4047.746,4050.008
66,4356.366,3817.24,3952.577,4057.336
67,3984.843,3885.586,3893.251,3959.66
68,3933.687,3700.566,3930.912,3911.064
69,3868.507,3694.461,3900.477,3961.664
70,3891.177,3699.364,3814.04,3933.327
71,3849.213,3635.477,3538.803,3812.856
72,3913.844,3587.364,3632.039,3872.954
73,4043.644,4011.696,3933.793,3996.247
74,4260.104,4099.171,4063.301,4319.37
75,4194.525,4148.556,3956.122,4262.384
76,4181.468,4097.544,3823.447,4303.699
77,4105.838,4003.576,3935.45,4202.629
78,4187.373,3997.324,3903.99,4206.228
79,4192.992,4061.872,3858.291,4138.429
80,4187.858,3949.971,3914.425,3933.288
81,4121.058,4103.704,3895.789,3854.984
82,4133.346,4035.037,3951.935,3914.569
83,4098.049,3855.24,3945.828,3859.807
84,3983.308,3719.212,3779.406,3805.522
85,3895.793,3675.304,3807.71,3865.761
86,3928.815,3639.351,3781.172,3715.014
87,3960.176,3624.197,3771.241,3717.455
88,3886.744,3499.576,3731.25,3582.492
89,3844.625,3513.095,3434.476,3317.238
90,3735.206,3500.845,3447.998,3223.941
91,3457.296,3506.628,3338.979,3427.721
92,3362.747,3451.753,3388.201,3384.419
93,3264.322,3420.256,3441.062,3310.717
94,3338.326,3411.551,3569.689,3266.135
95,3383.903,3364.521,3470.942,3270.156
