,Q-JW1-MON,Q-JW2-MON,Q-JW3-MON,Q-JW4-MON
00:00:00,376.136,414.236,283.78,276.263
00:15:00,363.539,403.842,267.731,312.537
00:30:00,369.119,407.159,260.517,319.809
00:45:00,345.866,404.653,259.089,312.991
01:00:00,383.926,406.511,241.862,319.946
01:15:00,362.679,413.791,274.08,307.224
01:30:00,380.188,399.723,239.081,299.717
01:45:00,367.919,421.588,267.46,296.766
02:00:00,354.658,423.75,249.633,304.621
02:15:00,358.254,397.619,236.381,282.559
02:30:00,351.967,371.424,231.672,283.443
02:45:00,340.306,379.549,236.456,280.584
03:00:00,318.626,381.841,211.868,271.769
03:15:00,335.822,347.24,220.584,284.98
03:30:00,298.176,350.943,259.617,259.268
03:45:00,294.69,372.742,216.184,274.197
04:00:00,308.699,353.646,236.447,266.936
04:15:00,283.107,351.802,249.407,242.506
04:30:00,300.828,342.093,256.04,276.648
04:45:00,326.872,378.52,253.162,256.909
05:00:00,313.956,331.136,240.662,242.64
05:15:00,330.012,314.534,243.512,228.331
05:30:00,339.9,328.684,226.086,259.824
05:45:00,311.31,282.341,217.194,234.102
06:00:00,306.117,289.501,230.588,279.449
06:15:00,331.968,287.14,234.462,262.21
06:30:00,299.681,288.957,175.202,260.703
06:45:00,303.05,251.083,152.268,208.46
07:00:00,309.897,294.418,167.859,183.317
07:15:00,281.852,269.25,226.728,220.611
07:30:00,303.602,308.719,233.568,261.163
07:45:00,320.193,351.263,334.773,289.842
08:00:00,403.274,439.211,415.162,334.231
08:15:00,438.114,474.219,415.94,382.023
08:30:00,476.1,498.17,462.624,416.334
08:45:00,483.32,539.417,448.753,433.092
09:00:00,490.143,568.527,478.647,442.082
09:15:00,554.449,588.676,464.481,526.656
09:30:00,639.092,591.486,507.558,586.529
09:45:00,643.768,630.263,584.52,592.946
10:00:00,643.237,610.709,595.117,570.854
10:15:00,633.692,642.386,605.682,574.871
10:30:00,651.34,662.771,626.713,577.849
10:45:00,664.809,682.072,638.353,582.426
11:00:00,736.483,660.991,640.054,582.36
11:15:00,708.731,651.668,634.121,607.291
11:30:00,710.053,652.542,624.293,658.11
11:45:00,698.101,693.072,637.934,642.566
12:00:00,696.504,694.407,612.966,653.408
12:15:00,677.651,659.378,601.292,619.204
12:30:00,729.433,608.561,618.096,612.14
12:45:00,692.341,658.407,633.791,594.641
13:00:00,715.04,665.332,686.869,619.339
13:15:00,709.891,669.971,690.368,606.411
13:30:00,722.383,689.006,714.921,602.271
13:45:00,737.947,697.733,720.213,601.174
14:00:00,740.624,704.624,713.63,603.443
14:15:00,731.204,704.452,714.402,616.083
14:30:00,717.881,707.936,724.68,607.68
14:45:00,697.769,700.11,718.497,610.798
15:00:00,701.024,696.439,723.614,587.687
15:15:00,708.682,675.701,751.021,595.891
15:30:00,692.113,675.536,765.052,602.413
15:45:00,675.663,683.806,754.419,593.371
16:00:00,671.804,698.879,760.246,589.828
16:15:00,651.46,669.147,703.193,571.293
16:30:00,662.606,652.604,577.594,541.778
16:45:00,513.104,586.458,569.544,514.93
17:00:00,455.278,478.096,492.536,507.096
17:15:00,441.043,469.973,509.579,492.377
17:30:00,431.38,453.111,395.964,457.804
17:45:00,387.857,403.888,379.853,430.444
18:00:00,391.311,395.683,360.883,432.297
18:15:00,433.46,435.113,379.178,440.853
18:30:00,427.858,436.732,396.803,456.056
18:45:00,425.261,423.768,450.127,445.653
19:00:00,423.404,416.996,464.967,448.204
19:15:00,440.713,409.407,451.668,441.479
19:30:00,421.593,432.347,479.928,435.882
19:45:00,438.813,410.958,454.803,443.211
20:00:00,430.461,423.904,464.263,450.873
20:15:00,424.558,429.186,440.731,462.306
20:30:00,416.27,430.164,460.391,459.002
20:45:00,420.06,477.063,452.631,471.318
21:00:00,441.508,457.867,477.926,483.258
21:15:00,422.923,447.721,380.13,498.166
21:30:00,424.823,436.3,326.009,416.617
21:45:00,458.49,474.171,352.237,349.697
22:00:00,455.299,445.65,350.777,313.698
22:15:00,425.493,488.434,336.65,346.966
22:30:00,414.087,478.464,338.062,314.609
22:45:00,400.17,470.351,310.382,308.791
23:00:00,374.276,418.637,304.682,288.818
23:15:00,394.536,342.99,294.928,315.488
23:30:00,383.209,321.154,316.132,271.11
23:45:00,384.464,333.224,291.447,298.622
