,P-JW1-SAT,P-JW2-SAT,P-JW3-SAT,P-JW4-SAT
00:00:00,3029.978,2965.012,2953.527,2871.87
00:15:00,3002.107,2972.911,2907.961,2871.052
00:30:00,2967.794,2885.05,2852.779,2830.066
00:45:00,2906.573,2818.93,2818.615,2803.24
01:00:00,2857.319,2769.048,2764.06,2089.566
01:15:00,2803.667,2718.885,2782.08,1943.733
01:30:00,2830.133,2650.411,2694.056,1931.279
01:45:00,2782.094,2583.229,2622.977,1920.736
02:00:00,2768.639,2619.397,2618.307,1890.476
02:15:00,2751.762,2548.986,2544.276,1836.164
02:30:00,2693.99,2506.425,2563.919,1854.922
02:45:00,2676.211,2517.949,2499.597,1819.491
03:00:00,2643.832,2457.822,2496.903,1803.148
03:15:00,2632.079,2414.431,2470.062,1772.838
03:30:00,2598.782,2374.954,2474.375,1789.157
03:45:00,2584.013,2381.204,2485.919,1743.885
04:00:00,2584.575,2357.591,2444.471,1752.943
04:15:00,2583.239,2356.349,2468.833,1752.968
04:30:00,2572.277,2340.39,2455.732,1758.502
04:45:00,2591.803,2368.54,2482.997,1805.332
05:00:00,2597.812,2413.556,2476.998,1797.842
05:15:00,2634.862,2357.297,2500.698,1800.884
05:30:00,2608.953,2406.516,2535.669,1814.032
05:45:00,2681.676,2399.686,2536.79,1849.449
06:00:00,2650.389,2439.72,2558.032,1856.3
06:15:00,2581.321,2431.53,2515.206,1844.107
06:30:00,2540.517,2293.299,2453.689,1763.103
06:45:00,2450.095,2231.9,2469.712,1756.539
07:00:00,2472.727,2240.017,2434.522,1728.361
07:15:00,2504.831,2316.169,2465.939,1745.223
07:30:00,2546.599,2387.572,2445.034,1791.706
07:45:00,2648.141,2440.522,2549.37,1887.76
08:00:00,2733.459,2583.811,2587.433,1883.953
08:15:00,2835.853,2689.409,2632.892,1991.716
08:30:00,2842.446,2831.66,2699.246,2032.924
08:45:00,3030.028,2844.951,2843.35,2040.477
09:00:00,3102.172,2881.289,2885.703,2109.668
09:15:00,3190.93,3009.61,2968.526,2130.257
09:30:00,3189.553,3109.306,3137.343,2149.524
09:45:00,3254.609,3084.865,3119.459,2171.303
10:00:00,3251.263,3168.149,3125.567,2182.656
10:15:00,3319.574,3159.548,3096.49,2227.893
10:30:00,3365.029,3263.361,3179.115,2210.739
10:45:00,3409.571,3307.037,3202.52,2242.352
11:00:00,3417.58,3317.358,3274.823,2293.081
11:15:00,3461.277,3359.916,3261.992,2256.249
11:30:00,3507.881,3421.859,3261.977,2217.621
11:45:00,3530.007,3390.22,3238.426,2245.101
12:00:00,3505.946,3399.354,3117.421,2238.517
12:15:00,3496.95,3450.442,3169.027,2263.551
12:30:00,3536.209,3460.259,3233.422,2248.794
12:45:00,3561.393,3484.301,3232.28,2272.107
13:00:00,3554.072,3511.351,3292.489,2296.839
13:15:00,3534.148,3466.625,3291.021,2265.841
13:30:00,3548.887,3456.691,3268.646,2276.471
13:45:00,3567.22,3527.953,3288.42,2345.316
14:00:00,3524.057,3509.341,3244.891,2325.48
14:15:00,3500.749,3449.852,3190.362,2302.197
14:30:00,3444.996,3451.189,3154.875,2320.175
14:45:00,3413.482,3372.169,3151.38,2360.746
15:00:00,3426.363,3347.934,3156.502,2348.527
15:15:00,3358.037,3269.798,3173.417,2321.178
15:30:00,3329.85,3265.17,3070.543,2311.246
15:45:00,3295.962,3246.671,3012.533,2357.385
16:00:00,3322.098,3223.861,2991.067,2356.02
16:15:00,3320.251,3238.039,3004.013,2351.193
16:30:00,3283.429,3173.415,2968.499,2342.697
16:45:00,3226.692,3068.572,2916.803,2303.907
17:00:00,3173.018,3119.165,2868.676,2301.223
17:15:00,3206.926,3103.041,2879.037,2270.044
17:30:00,3232.26,3071.286,2887.829,2284.279
17:45:00,3222.253,3063.572,2918.595,2285.419
18:00:00,3335.221,3137.234,3013.201,2331.764
18:15:00,3436.69,3246.196,3078.011,2362.927
18:30:00,3634.666,3432.582,3268.02,2488.028
18:45:00,3698.824,3575.492,3326.742,2591.741
19:00:00,3717.619,3638.794,3325.743,2659.294
19:15:00,3740.46,3596.496,3370.851,2626.343
19:30:00,3769.92,3556.984,3400.651,2674.243
19:45:00,3777.191,3607.117,3386.319,2579.537
20:00:00,3769.267,3522.369,3376.095,2660.147
20:15:00,3704.119,3562.378,3343.601,2576.998
20:30:00,3667.335,3556.512,3363.288,2590.118
20:45:00,3692.107,3571.367,3343.622,2533.01
21:00:00,3687.402,3508.316,3340.258,2572.867
21:15:00,3661.416,3534.899,3345.484,2533.863
21:30:00,3668.466,3459.306,3339.986,2500.788
21:45:00,3602.969,3371.543,3184.753,2530.032
22:00:00,3583.703,3285.867,3194.559,2497.744
22:15:00,3460.521,3234.213,3119.738,2484.033
22:30:00,3428.766,3206.389,3010.912,2463.234
22:45:00,3321.875,3097.641,2972.875,2386.01
23:00:00,3323.098,3140.193,2929.87,2325.566
23:15:00,3212.273,3061.083,2942.137,2304.117
23:30:00,3183.976,3010.532,2898.527,2245.557
23:45:00,3119.084,2957.571,2846.302,2170.322
