,Q-JW1-SAT,Q-JW2-SAT,Q-JW3-SAT,Q-JW4-SAT
00:00:00,320.969,370.513,367.13,287.7
00:15:00,321.771,383.284,353.989,298.649
00:30:00,304.677,344.769,339.713,307.946
00:45:00,293.27,353.804,341.296,333.644
01:00:00,291.497,382.472,318.364,75.73
01:15:00,270.879,376.252,330.984,49.553
01:30:00,313.218,366.053,304.717,59.142
01:45:00,298.518,344.407,287.457,66.271
02:00:00,289.744,364.894,316.393,54.577
02:15:00,290.373,326.688,284.009,28.173
02:30:00,282.693,314.119,314.744,52.406
02:45:00,287.81,327.011,272.388,20.133
03:00:00,279.033,298.964,292.693,37.559
03:15:00,274.903,267.12,275.467,11.87
03:30:00,271.586,275.05,279.18,40.033
03:45:00,270.833,279.902,310.016,12.008
04:00:00,260.89,265.729,273.444,27.426
04:15:00,265.58,268.472,286.846,20.892
04:30:00,278.132,257.342,293.012,29.58
04:45:00,254.757,255.719,276.41,30.73
05:00:00,249.041,286.113,265.298,19.21
05:15:00,264.31,237.137,284.959,19.881
05:30:00,261.497,263.24,303.376,0.89
05:45:00,288.852,263.439,288.136,36.896
06:00:00,274.283,285.704,312.478,37.228
06:15:00,258.401,292.751,311.793,52.031
06:30:00,255.88,200.827,278.432,-2.347
06:45:00,227.446,162.984,280.352,-7.072
07:00:00,229.263,154.513,255.11,-20.138
07:15:00,237.464,178.262,308.195,-8.781
07:30:00,233.61,217.466,245.108,4.272
07:45:00,275.288,221.201,283.678,23.951
08:00:00,308.656,287.576,300.33,23.751
08:15:00,359.102,294.094,369.663,50.203
08:30:00,372.446,392.22,374.619,42.314
08:45:00,478.389,392.528,416.279,36.731
09:00:00,484.91,387.379,412.603,106.31
09:15:00,526.943,413.293,426.679,108.211
09:30:00,528.256,447.138,525.663,123.234
09:45:00,548.88,446.533,535.769,123.64
10:00:00,526.452,500.908,547.711,143.979
10:15:00,547.047,488.268,516.293,143.347
10:30:00,562.246,522.243,523.622,139.392
10:45:00,637.036,555.846,533.431,132.483
11:00:00,639.911,578.43,548.852,161.167
11:15:00,645.157,591.321,547.751,154.234
11:30:00,645.586,592.624,568.811,150.797
11:45:00,653.252,592.094,561.97,153.983
12:00:00,644.828,600.701,536.93,157.701
12:15:00,636.271,582.189,525.977,162.459
12:30:00,637.808,595.03,529.874,152.77
12:45:00,647.813,589.679,539.967,165.043
13:00:00,634.519,611.893,548.344,160.201
13:15:00,630.024,594.099,571.95,160.884
13:30:00,642.624,584.647,536.629,169.081
13:45:00,652.153,599.861,545.518,198.79
14:00:00,616.9,576.532,530.91,186.048
14:15:00,631.826,555.502,496.63,176.937
14:30:00,610.159,587.88,491.102,199.577
14:45:00,610.121,561.553,493.188,195.669
15:00:00,621.876,547.079,504.284,184.112
15:15:00,590.58,519.784,527.61,190.689
15:30:00,586.81,523.493,485.022,173.426
15:45:00,582.998,503.621,468.311,193.669
16:00:00,619.04,486.347,459.612,179.421
16:15:00,624.476,502.567,469.074,189.337
16:30:00,612.299,490.558,431.521,180.53
16:45:00,604.862,451.543,366.828,159.733
17:00:00,566.182,457.159,359.58,172.249
17:15:00,570.199,440.838,365.849,182.168
17:30:00,588.95,454.348,352.21,173.073
17:45:00,515.403,438.437,336.772,164.258
18:00:00,500.891,421.633,356.641,142.369
18:15:00,520.562,435.529,337.662,152.521
18:30:00,524.394,479.122,402.619,166.812
18:45:00,494.76,439.782,375.443,164.001
19:00:00,487.718,442.3,344.649,139.201
19:15:00,491.038,436.18,360.864,106.758
19:30:00,513.777,419.747,410.618,146.268
19:45:00,509.911,435.722,424.686,129.193
20:00:00,503.799,386.637,424.75,162.634
20:15:00,536.02,428.161,402.719,137.838
20:30:00,515.972,409.166,420.547,162.94
20:45:00,532.164,399.247,419.683,114.791
21:00:00,531.122,393.088,430.649,133.986
21:15:00,520.647,415.742,433.467,110.589
21:30:00,545.79,326.411,437.062,109.844
21:45:00,509.397,325.953,410.901,98.186
22:00:00,518.113,329.603,437.896,94.15
22:15:00,423.673,313.451,360.467,99.802
22:30:00,422.122,305.243,270.846,104.64
22:45:00,400.651,297.608,276.776,98.83
23:00:00,427.474,328.373,267.742,86.968
23:15:00,375.94,303.899,309.443,121.431
23:30:00,401.116,325.102,297.102,113.271
23:45:00,382.072,317.732,300.976,95.508
