,Q-JW1-SUN,Q-JW2-SUN,Q-JW3-SUN,Q-JW4-SUN
0,3476.705,3095.283,3272.299,2563.581
1,3399.365,3098.068,3161.667,2536.19
2,3403.177,3084.359,3164.876,2592.413
3,3391.267,3064.234,3125.861,2417.136
4,3382.555,3098.437,3124.78,2485.576
5,3319.784,3012.493,3139.045,2453.528
6,3379.137,2990.092,3149.672,2462.97
7,3379.892,2981.077,3104.056,2457.386
8,3304.59,3085.291,3034.502,2466.442
9,3257.025,3091.069,3051.164,2428.004
10,3181.623,2881.144,3100.968,2441.874
11,3247.753,2906.12,3065.965,2452.208
12,3164.616,2902.575,2999.394,2376.238
13,3167.361,2818.969,3051.385,2388.281
14,3155.076,2950.444,2991.507,2357.657
15,3112.676,2945.82,2941.633,2340.686
16,3136.335,2918.355,3004.741,2351.669
17,3087.462,2852.406,2961.294,2321.875
18,3033.606,2872.047,2949.312,2358.562
19,3052.679,2819.302,2920.601,2269.16
20,3040.337,2822.363,3003.459,2262.719
21,3018.417,2936.984,2929.832,2181.421
22,3019.357,2890.66,2941.786,2188.491
23,3028.734,2859.017,2941.961,2132.844
24,2966.744,2841.21,3004.575,2124.278
25,2803.847,3003.226,2837.18,2096.095
26,2632.545,2675.844,2469.455,1832.651
27,2692.885,3181.052,2341.051,1911.433
28,2578.634,3288.854,2419.406,1855.074
29,2633.192,3370.156,2526.818,2003.258
30,2656.748,3434.845,2645.593,1963.461
31,2723.941,3597.335,2675.398,1965.899
32,2748.929,3632.141,2722.035,2138.866
33,2878.674,3755.212,2939.363,2119.193
34,2964.507,4004.935,2984.37,2268.792
35,2966.219,4020.66,3015.101,2228.673
36,3059.625,4137.226,3093.902,2280.085
37,3108.813,4149.328,3057.84,2233.759
38,3193.303,4208.09,3172.988,2411.562
39,3142.21,4393.022,3296.559,2423.927
40,3451.182,4433.532,3229.47,2424.392
41,3487.329,4507.523,3304.294,2482.905
42,3515.879,4536.615,3335.828,2478.071
43,3582.819,4640.742,3334.282,2484.78
44,3538.638,4646.257,3352.187,2483.633
45,3592.942,4631.745,3333.702,2801.987
46,3683.642,4761.109,3363.1,2802.873
47,3663.352,4848.897,3353.62,2854.733
48,3583.564,4811.296,3252.541,2774.418
49,3621.637,4750.83,3381.338,2857.29
50,3693.01,4771.232,3336.453,2808.869
51,3610.707,4980.969,3359.257,2709.655
52,3630.96,4940.333,3366.908,2783.071
53,3727.121,3975.117,3412.775,2733.193
54,3647.234,3947.59,3387.81,2713.006
55,3646.042,3237.347,3370.717,2805.68
56,3592.166,3347.158,3332.99,2825.23
57,3621.896,3368.133,3380.561,2762.444
58,3637.052,3348.44,3336.222,2726.431
59,3616.834,3377.341,3326.008,2826.831
60,3618.387,3275.552,3346.497,2761.33
61,3609.437,3357.684,3465.84,2779.2
62,3571.117,3334.108,3543.151,2778.708
63,3586.974,3274.564,3571.961,2739.961
64,3517.176,3379.018,3552.581,2814.115
65,3507.176,3312.638,3530.327,2780.597
66,3547.824,3332.787,3385.224,2753.109
67,3558.891,3281.619,3393.194,2750.497
68,3432.143,3263.695,3435.219,2707.835
69,3419.256,3272.076,3363.386,2756.547
70,3434.396,3367.643,3346.756,2337.86
71,3395.984,3339.158,3229.559,2337.359
72,3460.546,3383.367,3305.691,2443.5
73,3862.283,3447.73,3384.583,2592.378
74,3888.456,3951.56,3788.657,2973.395
75,3970.997,3914.952,3744.747,3053.708
76,3958.046,3886.608,3771.419,3033.951
77,3924.787,3759.018,3687.881,2911.922
78,3870.564,3786.789,3757.993,2913.895
79,3916.85,3762.891,3770.39,2835.779
80,3831.296,3724.338,3765.531,2932.917
81,3882.227,3718.894,3693.985,2868.371
82,3896.932,3708.3,3655.408,2787.266
83,3864.477,3763.585,3734.248,2847.093
84,3800.159,3728.807,3684.764,2887.382
85,3643.766,3685.132,3424.495,2862.573
86,3672.733,3653.184,3348.597,2530.357
87,3664.105,3381.719,3481.76,2575.562
88,3740.041,3276.856,3419.543,2539.226
89,3666.156,3214.183,3453.195,2528.384
90,3663.368,3203.417,3383.751,2498.837
91,3570.09,3173.194,3297.973,2512.112
92,3612.758,3181.263,3256.794,2582.421
93,3577.013,3180.766,3353.425,2510.072
94,3568.663,3216.161,3332.74,2525.489
95,3498.068,3113.196,3258.069,2428.278
