,P-JW1-THU,P-JW2-THU,P-JW3-THU,P-JW4-THU
0,12885.269,12799.288,12262.75,12890.003
1,12695.838,12700.407,11944.771,12572.427
2,12585.694,12440.542,11830.931,12378.081
3,12416.963,12324.688,11704.788,12342.307
4,12285.861,12060.725,11618.287,12079.341
5,12012.502,11918.488,11349.592,12064.636
6,11867.0,11788.019,11257.816,11769.519
7,11729.792,11633.935,11219.556,11779.864
8,11659.207,11541.108,11087.506,11567.55
9,11438.189,11398.795,11067.365,11530.051
10,11564.427,11403.241,11018.284,11318.247
11,11407.805,11291.223,11046.692,11369.247
12,11387.476,11198.773,10965.175,11356.399
13,11368.039,11198.784,10911.89,11363.732
14,11291.215,11060.463,10991.76,11388.066
15,11270.55,11002.145,10842.322,11255.576
16,11199.995,11069.685,10860.085,11205.536
17,11332.001,11202.649,11047.076,11409.097
18,11432.129,11244.144,11058.317,11578.271
19,11571.451,11425.014,11187.311,11673.292
20,11647.906,11639.738,11387.947,12054.806
21,12153.416,12132.968,11739.572,12259.268
22,12486.181,12246.82,12165.957,12583.244
23,12718.587,12608.444,12481.508,12921.799
24,13258.091,12974.429,12857.347,13163.892
25,13181.822,13175.093,12924.607,13443.353
26,13182.096,12972.676,12709.393,13254.376
27,12846.862,12825.598,12846.091,13096.333
28,12821.529,12695.583,12766.292,12952.457
29,12571.37,12822.179,12567.297,12685.398
30,12675.787,12637.683,12462.466,12724.947
31,12659.463,12364.534,12440.715,12752.611
32,9204.933,12565.753,12413.556,12671.04
33,12935.268,12842.792,12526.658,12608.265
34,12863.225,13018.875,12709.854,12956.686
35,13083.569,13164.062,12887.267,12974.879
36,13235.264,13478.07,13107.983,13545.744
37,13178.708,13572.648,13100.513,13610.669
38,13424.782,13602.025,13157.637,13667.626
39,13629.724,13823.319,13276.011,13729.634
40,13880.135,14088.538,13408.256,13821.294
41,13841.516,14176.423,13553.879,14056.312
42,14077.656,14329.055,13340.925,14239.996
43,13963.019,14216.51,13694.068,14417.679
44,14191.228,14369.451,13795.778,14390.573
45,14216.636,14644.693,13965.374,14438.32
46,14306.428,14821.083,13989.384,14502.497
47,14465.131,14826.345,14208.462,14566.674
48,14455.073,14873.919,14239.012,14716.152
49,14500.773,14900.43,14494.583,14583.052
50,14545.153,14907.597,14478.119,14710.869
51,14569.958,14669.515,14534.331,14743.216
52,14686.708,14538.611,14691.602,14919.874
53,14797.837,14639.879,14733.56,14932.779
54,14704.146,14420.438,14984.27,14757.331
55,14811.673,14576.333,14807.097,14894.504
56,14679.049,14458.873,14792.127,14828.773
57,14777.261,14307.542,14906.58,14877.372
58,14778.041,14243.654,14944.849,14905.039
59,14666.374,14034.431,14875.355,14787.742
60,14671.88,14327.669,14791.952,14765.407
61,14842.155,14190.098,14809.42,14901.028
62,14841.717,14183.681,14770.21,14782.581
63,14773.837,14170.778,14896.768,14815.298
64,14737.823,14215.508,14744.208,14760.563
65,14548.062,14133.861,14637.344,14528.112
66,14266.285,13797.959,14420.508,14362.011
67,14137.855,13548.299,14268.083,14248.326
68,13958.34,13730.313,14067.605,13929.878
69,14005.467,13813.169,14172.064,13763.322
70,14015.486,14090.187,14186.964,13868.643
71,14332.989,14369.331,14106.055,13952.297
72,14919.568,14732.6,14604.685,14377.846
73,15849.624,15332.53,15501.478,14927.549
74,16669.622,16242.824,16459.402,16166.684
75,16810.468,16263.211,16957.312,16744.636
76,16953.304,16401.449,16837.435,16798.291
77,16905.079,16487.587,17033.151,16736.931
78,17076.882,16668.773,17002.702,16755.146
79,17007.827,16746.755,17176.302,16925.583
80,17133.345,16615.672,16895.911,16924.551
81,17059.704,16367.298,16899.243,16717.094
82,16820.688,16302.854,16735.14,16791.62
83,16596.07,16407.346,16536.604,16412.828
84,16430.691,16088.581,16383.554,16536.7
85,16394.571,15887.861,15992.797,16158.185
86,16081.569,15534.46,15605.331,15876.015
87,15727.694,15236.445,15471.645,15291.081
88,15187.845,14731.737,15298.397,14924.701
89,15008.35,14318.812,14989.989,14754.228
90,14567.931,13990.203,14574.18,14445.472
91,14449.414,13722.054,14349.044,14150.591
92,14155.986,13399.953,14041.894,13772.24
93,13809.093,13208.017,13721.913,13468.823
94,13503.085,12906.151,13601.374,13214.714
95,13340.362,12721.616,13318.807,13027.955
