,P-JW1-TUE,P-JW2-TUE,P-JW3-TUE,P-JW4-TUE
00:00:00,2877.704,2840.51,2780.089,2834.559
00:15:00,2837.915,2765.533,2731.487,2783.538
00:30:00,2818.541,2684.652,2680.746,2758.673
00:45:00,2734.48,2629.461,2625.071,2694.599
01:00:00,2739.832,2614.501,2572.112,2731.657
01:15:00,2697.18,2553.239,2554.597,2673.037
01:30:00,2708.332,2531.918,2506.229,2653.582
01:45:00,2651.206,2474.796,2486.056,2603.466
02:00:00,2640.961,2474.558,2450.052,2613.618
02:15:00,2599.661,2467.585,2402.022,2556.337
02:30:00,2602.68,2443.971,2417.165,2540.84
02:45:00,2565.744,2427.589,2389.768,2553.072
03:00:00,2574.071,2427.918,2370.558,2478.925
03:15:00,2531.127,2415.893,2363.537,2495.706
03:30:00,2539.403,2373.437,2347.642,2434.286
03:45:00,2483.699,2350.885,2333.599,2427.056
04:00:00,2517.506,2368.611,2352.541,2436.416
04:15:00,2507.251,2353.921,2325.673,2453.481
04:30:00,2522.733,2372.276,2338.371,2432.575
04:45:00,2597.109,2375.128,2417.2,2469.213
05:00:00,2589.127,2409.744,2447.239,2508.813
05:15:00,2642.867,2462.172,2443.859,2538.388
05:30:00,2734.813,2489.474,2516.066,2598.628
05:45:00,2799.111,2562.368,2597.893,2664.029
06:00:00,2856.438,2675.503,2686.138,2730.271
06:15:00,2954.018,2699.771,2706.692,2772.87
06:30:00,2840.156,2739.865,2698.033,2757.506
06:45:00,2849.952,2717.388,2702.709,2717.125
07:00:00,2871.812,2645.993,2682.869,2658.258
07:15:00,2861.848,2685.518,2734.075,2699.604
07:30:00,2894.882,2708.818,2754.956,2768.724
07:45:00,2923.925,2723.703,2753.115,2810.971
08:00:00,2937.249,2728.847,2793.99,2853.439
08:15:00,2995.06,2824.605,2903.461,2856.597
08:30:00,3086.865,2950.625,2926.03,2939.875
08:45:00,3161.387,2948.1,2977.332,2993.899
09:00:00,3231.811,3033.102,3054.519,3143.887
09:15:00,3269.728,3128.001,3113.804,3245.02
09:30:00,3277.652,3139.655,3189.991,3295.759
09:45:00,3285.793,3190.954,3210.697,3286.432
10:00:00,3368.367,3232.612,3264.29,3286.352
10:15:00,3430.264,3259.4,3282.789,3335.668
10:30:00,3381.201,3327.607,3281.442,3355.851
10:45:00,3457.833,3314.133,3327.791,3431.991
11:00:00,3457.708,3378.272,3411.19,3468.915
11:15:00,3422.94,3322.031,3410.578,3501.352
11:30:00,3456.094,3368.259,3477.963,3527.665
11:45:00,3485.268,3337.351,3497.677,3537.03
12:00:00,3534.508,3387.917,3490.47,3528.959
12:15:00,3532.81,3448.011,3516.461,3596.14
12:30:00,3561.887,3431.423,3589.682,3593.704
12:45:00,3553.818,3457.083,3647.639,3587.29
13:00:00,3558.901,3500.422,3687.288,3592.476
13:15:00,3536.798,3465.956,3687.833,3589.582
13:30:00,3556.95,3508.119,3715.811,3558.918
13:45:00,3619.048,3519.416,3693.05,3489.338
14:00:00,3575.201,3527.542,3685.46,3488.484
14:15:00,3603.923,3477.829,3636.339,3487.026
14:30:00,3609.661,3400.308,3676.066,3558.39
14:45:00,3611.165,3397.017,3674.693,3556.575
15:00:00,3655.63,3409.875,3639.553,3511.8
15:15:00,3637.477,3401.807,3646.182,3485.594
15:30:00,3674.166,3406.632,3668.554,3550.932
15:45:00,3670.131,3364.759,3700.608,3487.508
16:00:00,3633.847,3398.213,3628.752,3523.852
16:15:00,3556.256,3374.579,3542.135,3475.845
16:30:00,3501.227,3320.546,3435.443,3411.933
16:45:00,3314.029,3185.758,3283.74,3251.848
17:00:00,3252.56,3066.429,3203.983,3156.812
17:15:00,3195.039,2956.908,3142.944,3089.473
17:30:00,3130.651,2952.262,3123.693,3081.6
17:45:00,3139.68,2996.926,3087.259,3096.946
18:00:00,3289.412,3083.52,3182.382,3231.102
18:15:00,3447.133,3226.8,3382.447,3391.538
18:30:00,3682.973,3402.302,3612.019,3588.551
18:45:00,3779.047,3535.319,3711.741,3752.997
19:00:00,3874.314,3587.532,3740.615,3751.579
19:15:00,3853.973,3548.292,3817.928,3751.135
19:30:00,3896.623,3638.23,3804.115,3780.65
19:45:00,3866.332,3639.197,3818.27,3797.167
20:00:00,3884.665,3599.97,3861.564,3808.021
20:15:00,3947.793,3559.81,3822.981,3745.092
20:30:00,3929.279,3584.53,3905.743,3762.118
20:45:00,3849.266,3477.706,3862.747,3730.9
21:00:00,3883.089,3451.261,3889.718,3689.041
21:15:00,3806.405,3387.457,3804.946,3659.978
21:30:00,3744.812,3350.454,3772.676,3611.298
21:45:00,3635.115,3296.416,3634.234,3586.831
22:00:00,3561.892,3222.629,3473.675,3518.682
22:15:00,3515.318,3136.317,3370.331,3433.583
22:30:00,3465.802,3077.146,3363.585,3364.004
22:45:00,3306.997,2944.72,3220.551,3285.284
23:00:00,3277.547,2873.001,3234.783,3187.039
23:15:00,3162.338,2834.91,3139.241,3123.739
23:30:00,3179.127,2783.953,3113.713,3079.716
23:45:00,3054.697,2718.415,3027.991,3041.809
