,Q-JW1-TUE,Q-JW2-TUE,Q-JW3-TUE,Q-JW4-TUE
0,3341.158,3360.791,3170.661,3152.452
1,3448.955,3223.34,3166.872,3227.977
2,3403.288,3251.392,3203.692,3224.17
3,3418.626,3249.271,3203.384,3157.821
4,3412.042,3184.813,2989.328,3079.304
5,3362.518,3090.074,2966.554,3060.162
6,3339.112,3111.853,3058.673,3094.662
7,3349.673,3047.787,3061.842,3120.907
8,3307.996,2976.327,3006.6,3056.725
9,3310.563,3076.971,2986.244,3146.385
10,3292.607,2950.238,3046.791,3085.176
11,3344.591,2957.287,2929.631,3042.702
12,3262.054,2991.205,3020.118,3033.409
13,3205.337,2987.566,2952.338,2967.586
14,3205.4,2937.151,2941.603,3016.941
15,3206.027,2935.769,2946.286,2960.354
16,3139.006,2917.265,2924.655,2959.064
17,3209.169,2966.167,2963.377,2997.938
18,3249.425,2912.252,2866.089,3038.135
19,3261.589,2915.809,2964.234,3038.216
20,3342.839,2977.263,2933.229,3158.754
21,3374.324,3105.481,3079.179,3097.425
22,3364.228,3067.194,3162.618,3155.089
23,3377.392,3111.05,3134.992,3110.746
24,3397.073,3069.443,3128.072,3036.27
25,3244.717,2973.669,3010.203,3149.699
26,3112.031,2881.596,2843.855,2863.245
27,3087.543,2803.993,2713.069,2758.774
28,3126.944,2744.691,2814.552,2731.966
29,3138.066,2857.628,2799.609,2771.924
30,3285.845,2879.164,2855.592,3083.01
31,3285.727,3015.057,3011.441,3153.691
32,3407.573,3462.377,3357.16,3317.56
33,3549.891,2096.328,3376.077,3253.278
34,3527.021,1925.627,3442.63,3410.093
35,3580.97,2001.343,3594.737,3728.677
36,3918.787,2064.542,3918.291,3900.215
37,3885.184,2107.0,3922.357,3889.782
38,3898.504,3871.13,3991.011,3926.634
39,4023.198,3922.742,3950.328,3939.359
40,4120.435,3951.584,3988.267,3874.855
41,4068.282,3995.109,4060.469,4014.693
42,4152.835,4085.658,4088.924,4063.858
43,4204.068,4056.261,4078.975,4061.593
44,4260.201,4064.347,4125.001,3919.156
45,4213.318,4110.39,4241.133,3960.834
46,4194.925,4188.111,4280.21,3977.161
47,4201.295,4157.036,4374.541,3977.294
48,4197.414,4108.749,4227.662,3987.049
49,4162.016,4023.938,4229.22,4119.864
50,4157.619,4090.345,4322.592,4054.124
51,4151.786,4067.898,4386.352,4113.749
52,4056.072,4100.858,4338.692,3985.981
53,4119.326,4024.816,4390.061,4158.927
54,4330.37,4155.266,4446.982,4162.825
55,4362.377,4154.12,4395.063,4140.328
56,4349.135,4082.368,4411.342,4061.836
57,4340.455,4075.071,4385.359,4121.749
58,4335.123,4133.735,4438.971,4140.603
59,4367.266,4095.078,4417.264,4056.195
60,4372.903,4107.414,4400.386,4069.083
61,4358.793,4000.861,4341.188,4039.24
62,4298.98,4138.602,4235.523,4144.147
63,4243.015,4133.828,4301.62,4071.654
64,4242.027,4105.856,4339.695,4135.75
65,4120.672,4124.025,4326.635,4037.102
66,4056.287,4024.812,4193.383,4051.053
67,4040.761,3951.023,3823.924,4001.606
68,4045.416,3553.28,3742.369,3865.331
69,3965.293,3495.587,3850.786,3884.682
70,3858.91,3477.813,3804.92,3867.21
71,3801.605,3406.695,3750.049,3772.304
72,4058.437,3474.268,3766.492,3816.878
73,4247.955,3771.993,4082.176,3854.038
74,4433.923,3930.053,4197.212,4398.867
75,4529.884,3902.978,4222.971,4386.414
76,4360.853,3920.208,4149.759,4233.584
77,4226.281,3781.897,4101.421,4172.847
78,4278.111,3809.684,4053.928,4172.406
79,4280.562,3817.707,4030.106,4171.493
80,4328.442,3795.4,4018.431,4164.324
81,4262.54,3856.831,4053.02,4145.559
82,4223.335,3793.155,4013.273,4096.031
83,4153.636,3669.864,4036.949,4076.452
84,4140.039,3628.545,4009.433,3994.98
85,4039.451,3600.126,3998.081,3769.149
86,3829.961,3564.976,3992.429,3755.392
87,3906.533,3585.815,3629.245,3585.828
88,3869.961,3565.115,3638.763,3625.648
89,3861.588,3338.139,3669.977,3332.013
90,3674.744,3229.33,3649.258,3221.911
91,3825.183,3253.153,3534.454,3306.734
92,3817.736,3110.631,3468.049,3260.934
93,3722.566,3190.696,3447.099,3276.975
94,3739.461,3154.919,3398.145,3239.502
95,3704.047,3155.706,3466.763,3156.632
