,Q-JW1-WED,Q-JW2-WED,Q-JW3-WED,Q-JW4-WED
00:00:00,423.753,213.019,343.057,274.091
00:15:00,400.81,232.142,300.703,281.022
00:30:00,348.462,219.884,323.869,269.383
00:45:00,373.754,213.008,325.593,291.538
01:00:00,344.136,228.968,332.41,257.719
01:15:00,363.053,195.0,290.918,288.004
01:30:00,342.942,202.031,299.987,252.759
01:45:00,335.671,200.89,321.38,242.297
02:00:00,340.802,185.952,311.61,252.671
02:15:00,312.423,196.68,310.527,256.977
02:30:00,326.318,184.042,295.357,236.497
02:45:00,324.194,196.209,287.712,252.079
03:00:00,330.798,190.151,264.937,227.524
03:15:00,345.998,185.591,286.417,272.609
03:30:00,323.554,193.49,257.3,235.737
03:45:00,327.497,178.461,284.59,251.7
04:00:00,325.122,193.731,260.487,255.886
04:15:00,326.966,148.45,280.33,237.39
04:30:00,338.898,183.841,297.536,232.61
04:45:00,317.379,170.962,278.931,246.998
05:00:00,297.389,152.438,276.481,238.893
05:15:00,309.552,170.967,244.161,212.757
05:30:00,327.364,134.653,257.453,246.98
05:45:00,338.909,158.953,242.783,248.948
06:00:00,308.454,164.989,281.292,253.789
06:15:00,306.557,159.92,248.168,242.906
06:30:00,290.43,131.798,242.89,178.957
06:45:00,282.641,137.826,214.883,174.308
07:00:00,329.146,144.084,205.012,152.431
07:15:00,360.828,168.127,250.612,208.918
07:30:00,359.097,225.001,267.079,207.714
07:45:00,416.937,210.008,317.242,247.296
08:00:00,477.144,290.557,353.466,318.13
08:15:00,499.551,296.103,429.011,427.88
08:30:00,558.346,421.299,478.138,468.386
08:45:00,592.782,511.862,571.847,502.832
09:00:00,608.882,568.828,578.878,474.987
09:15:00,603.626,552.066,610.483,496.57
09:30:00,631.23,609.461,627.403,524.694
09:45:00,615.637,598.549,626.73,623.559
10:00:00,619.606,579.089,630.022,605.06
10:15:00,592.972,575.302,629.454,606.926
10:30:00,604.129,589.904,638.616,618.968
10:45:00,595.044,580.729,633.058,615.836
11:00:00,664.754,611.722,625.758,623.51
11:15:00,636.398,602.244,609.396,627.19
11:30:00,634.333,661.362,616.74,616.184
11:45:00,605.109,667.483,611.738,614.97
12:00:00,598.187,662.766,590.429,608.757
12:15:00,599.153,665.841,601.504,639.196
12:30:00,618.732,663.143,602.411,657.85
12:45:00,600.122,667.13,626.063,661.418
13:00:00,628.614,648.791,646.44,681.189
13:15:00,601.93,659.229,645.172,681.021
13:30:00,604.4,655.767,620.287,677.764
13:45:00,619.136,681.221,613.331,666.881
14:00:00,617.657,677.472,606.212,678.178
14:15:00,580.18,704.243,624.118,678.131
14:30:00,584.694,685.441,616.608,709.82
14:45:00,555.084,693.488,626.672,701.582
15:00:00,560.748,694.17,593.261,713.946
15:15:00,580.631,696.24,571.112,699.388
15:30:00,581.961,686.078,560.488,668.03
15:45:00,601.982,688.07,573.622,661.35
16:00:00,594.629,669.068,578.493,681.854
16:15:00,560.96,659.9,572.503,659.063
16:30:00,553.429,569.759,547.634,636.711
16:45:00,507.362,457.331,501.961,571.616
17:00:00,498.754,424.24,484.012,453.893
17:15:00,475.994,397.32,464.51,425.467
17:30:00,470.378,400.489,423.79,413.491
17:45:00,465.943,361.577,367.669,395.12
18:00:00,493.087,377.283,377.304,388.7
18:15:00,523.922,414.947,378.842,388.63
18:30:00,504.682,416.439,406.168,403.254
18:45:00,505.708,419.172,398.273,394.973
19:00:00,489.353,433.613,397.943,418.147
19:15:00,484.509,425.096,365.067,411.673
19:30:00,493.163,433.408,368.902,407.47
19:45:00,478.549,404.102,327.209,406.494
20:00:00,489.547,396.262,349.967,390.177
20:15:00,479.028,390.748,332.669,403.433
20:30:00,487.554,394.911,335.764,401.837
20:45:00,492.336,442.461,311.718,409.346
21:00:00,491.896,421.867,292.9,443.126
21:15:00,491.079,406.907,298.514,422.539
21:30:00,534.34,351.268,315.109,441.106
21:45:00,400.92,298.252,282.763,455.672
22:00:00,409.977,316.351,300.626,370.606
22:15:00,400.442,321.308,286.659,381.984
22:30:00,378.818,336.334,320.302,391.429
22:45:00,404.43,304.25,280.641,389.877
23:00:00,366.429,310.644,297.621,351.977
23:15:00,360.604,298.35,299.601,399.221
23:30:00,351.537,329.879,305.619,296.683
23:45:00,369.301,293.244,299.114,298.236
