,P-JW1-MON,P-JW1-TUE,P-JW1-WED,P-JW1-THU,P-JW1-FRI,P-JW1-SAT,P-JW1-SUN
00:00:00,3071.832,2877.704,3014.638,2947.298,2973.446,3029.978,3082.161
00:15:00,2978.16,2837.915,2927.678,2902.763,2887.63,3002.107,3002.023
00:30:00,2933.031,2818.541,2821.222,2784.637,2817.67,2967.794,2980.23
00:45:00,2878.928,2734.48,2781.378,2808.9,2796.38,2906.573,2915.397
01:00:00,2881.163,2739.832,2710.183,2751.774,2775.842,2857.319,2874.862
01:15:00,2822.474,2697.18,2702.99,2720.948,2715.308,2803.667,2822.138
01:30:00,2808.764,2708.332,2632.858,2687.773,2692.112,2830.133,2813.431
01:45:00,2750.186,2651.206,2606.823,2631.081,2596.159,2782.094,2741.184
02:00:00,2722.716,2640.961,2600.246,2596.491,2644.549,2768.639,2690.642
02:15:00,2692.928,2599.661,2539.589,2563.827,2591.932,2751.762,2639.251
02:30:00,2679.201,2602.68,2535.219,2541.956,2573.768,2693.99,2649.577
02:45:00,2651.943,2565.744,2523.4,2571.585,2544.504,2676.211,2611.792
03:00:00,2622.768,2574.071,2501.18,2512.153,2538.038,2643.832,2585.349
03:15:00,2617.561,2531.127,2521.043,2495.734,2533.32,2632.079,2554.952
03:30:00,2551.007,2539.403,2469.56,2528.129,2485.248,2598.782,2541.342
03:45:00,2530.387,2483.699,2484.679,2455.839,2480.013,2584.013,2540.214
04:00:00,2551.585,2517.506,2474.463,2458.312,2475.206,2584.575,2479.438
04:15:00,2522.79,2507.251,2484.997,2461.434,2490.971,2583.239,2497.368
04:30:00,2554.797,2522.733,2511.901,2497.68,2511.554,2572.277,2459.662
04:45:00,2656.572,2597.109,2541.981,2516.718,2527.352,2591.803,2517.442
05:00:00,2657.062,2589.127,2530.996,2541.944,2509.339,2597.812,2531.643
05:15:00,2743.679,2642.867,2600.048,2598.541,2613.118,2634.862,2512.359
05:30:00,2783.719,2734.813,2680.821,2608.73,2644.937,2608.953,2514.948
05:45:00,2808.969,2799.111,2758.111,2744.088,2670.021,2681.676,2503.865
06:00:00,2875.862,2856.438,2768.063,2846.754,2709.304,2650.389,2545.279
06:15:00,2958.544,2954.018,2806.387,2868.546,2797.605,2581.321,2440.585
06:30:00,2983.107,2840.156,2819.328,2827.926,2776.61,2540.517,2342.371
06:45:00,2995.138,2849.952,2807.459,2806.816,2855.953,2450.095,2310.16
07:00:00,2959.72,2871.812,2838.656,2828.702,2793.763,2472.727,2278.736
07:15:00,2964.072,2861.848,2907.424,2872.375,2780.396,2504.831,2322.968
07:30:00,2971.983,2894.882,2901.094,2890.043,2900.349,2546.599,2353.627
07:45:00,2912.538,2923.925,2925.379,2901.17,2939.707,2648.141,2413.179
08:00:00,2991.308,2937.249,2996.412,2833.703,2981.66,2733.459,2471.207
08:15:00,3079.748,2995.06,2966.028,2914.053,3072.819,2835.853,2496.678
08:30:00,3183.425,3086.865,3115.605,3101.014,3100.078,2842.446,2608.572
08:45:00,3210.632,3161.387,3167.391,3152.22,3176.45,3030.028,2688.377
09:00:00,3234.496,3231.811,3216.023,3123.821,3275.087,3102.172,2711.017
09:15:00,3276.176,3269.728,3266.008,3169.17,3265.434,3190.93,2705.662
09:30:00,3347.807,3277.652,3278.337,3179.148,3289.091,3189.553,2782.543
09:45:00,3383.519,3285.793,3317.441,3214.603,3325.581,3254.609,2822.92
10:00:00,3397.546,3368.367,3342.73,3319.793,3351.11,3251.263,2838.432
10:15:00,3414.469,3430.264,3361.249,3335.592,3409.257,3319.574,2957.337
10:30:00,3430.462,3381.201,3352.277,3392.92,3460.671,3365.029,2939.761
10:45:00,3452.307,3457.833,3375.488,3435.569,3509.276,3409.571,2927.2
11:00:00,3567.369,3457.708,3495.41,3415.677,3540.679,3417.58,2982.523
11:15:00,3545.566,3422.94,3437.324,3444.433,3567.444,3461.277,3066.327
11:30:00,3565.456,3456.094,3403.418,3511.697,3611.13,3507.881,3126.703
11:45:00,3543.102,3485.268,3329.52,3539.196,3599.967,3530.007,3115.86
12:00:00,3547.702,3534.508,3316.962,3514.375,3623.672,3505.946,3117.825
12:15:00,3575.754,3532.81,3361.253,3542.902,3697.772,3496.95,3151.264
12:30:00,3587.615,3561.887,3416.137,3531.138,3694.943,3536.209,3176.109
12:45:00,3502.578,3553.818,3478.467,3529.652,3651.882,3561.393,3184.531
13:00:00,3602.843,3558.901,3495.385,3561.532,3594.063,3554.072,3244.204
13:15:00,3600.387,3536.798,3482.169,3567.633,3594.96,3534.148,3223.253
13:30:00,3616.279,3556.95,3493.166,3532.281,3549.121,3548.887,3192.993
13:45:00,3690.964,3619.048,3524.872,3561.742,3556.736,3567.22,3208.098
14:00:00,3677.049,3575.201,3497.199,3555.526,3608.458,3524.057,3254.734
14:15:00,3606.957,3603.923,3378.816,3532.761,3537.559,3500.749,3220.163
14:30:00,3555.841,3609.661,3336.369,3514.289,3566.621,3444.996,3199.724
14:45:00,3590.508,3611.165,3277.162,3561.873,3598.548,3413.482,3190.641
15:00:00,3541.165,3655.63,3299.166,3547.227,3648.754,3426.363,3213.589
15:15:00,3540.541,3637.477,3319.668,3514.11,3579.403,3358.037,3242.241
15:30:00,3541.209,3674.166,3371.177,3590.189,3628.198,3329.85,3219.216
15:45:00,3555.214,3670.131,3395.22,3551.396,3643.595,3295.962,3214.163
16:00:00,3608.916,3633.847,3407.669,3515.581,3675.912,3322.098,3214.109
16:15:00,3564.467,3556.256,3374.701,3490.771,3625.253,3320.251,3178.562
16:30:00,3518.773,3501.227,3349.839,3462.3,3585.258,3283.429,3142.518
16:45:00,3285.987,3314.029,3226.362,3309.182,3433.86,3226.692,3147.422
17:00:00,3177.694,3252.56,3199.14,3190.981,3277.934,3173.018,3128.17
17:15:00,3118.917,3195.039,3153.937,3168.149,3199.098,3206.926,3096.397
17:30:00,3106.037,3130.651,3158.321,3112.534,3158.148,3232.26,3064.449
17:45:00,3112.75,3139.68,3202.905,3094.767,3149.439,3222.253,3014.073
18:00:00,3208.772,3289.412,3352.046,3243.84,3296.19,3335.221,3117.083
18:15:00,3368.754,3447.133,3484.756,3393.714,3427.448,3436.69,3232.466
18:30:00,3545.549,3682.973,3603.398,3584.038,3552.746,3634.666,3433.459
18:45:00,3628.865,3779.047,3716.279,3679.629,3620.012,3698.824,3506.016
19:00:00,3674.599,3874.314,3781.779,3734.62,3614.287,3717.619,3559.289
19:15:00,3720.168,3853.973,3721.516,3765.44,3609.724,3740.46,3624.792
19:30:00,3708.692,3896.623,3782.411,3823.496,3642.88,3769.92,3586.652
19:45:00,3747.851,3866.332,3794.073,3858.893,3673.254,3777.191,3637.319
20:00:00,3746.875,3884.665,3819.557,3857.026,3729.895,3769.267,3691.379
20:15:00,3723.316,3947.793,3788.548,3732.162,3739.279,3704.119,3746.044
20:30:00,3720.132,3929.279,3798.261,3787.491,3739.719,3667.335,3759.891
20:45:00,3677.517,3849.266,3773.782,3756.353,3723.595,3692.107,3728.21
21:00:00,3675.06,3883.089,3711.457,3665.162,3685.524,3687.402,3718.408
21:15:00,3588.314,3806.405,3661.819,3655.003,3661.684,3661.416,3681.757
21:30:00,3590.048,3744.812,3646.971,3650.361,3700.463,3668.466,3684.604
21:45:00,3547.948,3635.115,3540.209,3594.197,3639.228,3602.969,3637.019
22:00:00,3475.239,3561.892,3476.997,3515.767,3557.938,3583.703,3580.496
22:15:00,3416.828,3515.318,3420.488,3475.748,3577.513,3460.521,3492.597
22:30:00,3382.802,3465.802,3337.827,3330.039,3539.286,3428.766,3419.923
22:45:00,3253.669,3306.997,3256.09,3207.752,3312.257,3321.875,3320.155
23:00:00,3135.095,3277.547,3145.562,3187.365,3303.048,3323.098,3331.967
23:15:00,3096.66,3162.338,3109.879,3114.297,3206.821,3212.273,3219.921
23:30:00,2994.902,3179.127,3074.823,3057.681,3176.438,3183.976,3140.238
23:45:00,2958.74,3054.697,3022.372,3052.821,3129.727,3119.084,3047.416
