,Q-JW2-MON,Q-JW2-TUE,Q-JW2-WED,Q-JW2-THU,Q-JW2-FRI,Q-JW2-SAT,Q-JW2-SUN
00:00:00,3402.626,3360.791,3017.858,3314.181,3137.901,3391.123,3095.283
00:15:00,3457.978,3223.34,3003.206,3286.527,3173.471,3276.419,3098.068
00:30:00,3430.714,3251.392,2950.212,3238.047,3157.585,3286.91,3084.359
00:45:00,3396.627,3249.271,2935.458,3258.681,3109.903,3361.961,3064.234
01:00:00,3307.843,3184.813,2918.315,3142.44,3092.965,3355.697,3098.437
01:15:00,3276.988,3090.074,2867.843,3157.295,3088.565,3297.019,3012.493
01:30:00,3340.135,3111.853,2853.443,3087.283,3065.264,3361.284,2990.092
01:45:00,3386.068,3047.787,2885.793,3116.773,3152.408,3350.649,2981.077
02:00:00,3369.065,2976.327,2872.263,3117.809,3120.321,3306.625,3085.291
02:15:00,3319.232,3076.971,2843.913,3078.992,2991.052,3170.509,3091.069
02:30:00,3264.64,2950.238,2888.975,3038.35,3012.449,3135.694,2881.144
02:45:00,3246.252,2957.287,2832.441,3025.894,2964.662,3176.474,2906.12
03:00:00,3177.816,2991.205,2814.185,3038.839,3011.859,2968.595,2902.575
03:15:00,3183.512,2987.566,2806.077,3021.461,2960.06,2930.791,2818.969
03:30:00,3081.56,2937.151,2819.819,2988.909,3028.508,2963.902,2950.444
03:45:00,3135.477,2935.769,2816.507,2955.954,2960.115,2884.367,2945.82
04:00:00,3098.31,2917.265,2781.746,2975.725,2994.352,2954.492,2918.355
04:15:00,3219.742,2966.167,2841.538,2980.691,2945.384,2884.162,2852.406
04:30:00,3223.021,2912.252,2814.678,3008.73,2970.105,2892.998,2872.047
04:45:00,3151.165,2915.809,2749.256,3043.2,2942.303,2932.153,2819.302
05:00:00,3292.844,2977.263,2853.205,3014.527,2993.949,2916.116,2822.363
05:15:00,3208.112,3105.481,2816.754,3161.985,3128.348,2874.799,2936.984
05:30:00,3279.135,3067.194,2796.44,3133.283,3203.033,2888.394,2890.66
05:45:00,3332.833,3111.05,2866.841,3145.987,3228.606,2929.48,2859.017
06:00:00,3331.693,3069.443,2982.447,3222.616,3183.558,2869.898,2841.21
06:15:00,3138.528,2973.669,2869.098,3119.446,2996.545,2698.048,3003.226
06:30:00,2982.162,2881.596,2641.059,2827.875,2948.716,2394.581,2675.844
06:45:00,2973.419,2803.993,2595.717,2789.151,2884.026,2374.233,3181.052
07:00:00,2996.861,2744.691,2683.41,2783.961,3047.53,2425.332,3288.854
07:15:00,3049.542,2857.628,2758.151,2929.819,2985.944,2452.967,3370.156
07:30:00,3047.961,2879.164,2759.359,2950.668,3171.121,2590.906,3434.845
07:45:00,3175.72,3015.057,2934.443,3033.368,3214.868,2753.172,3597.335
08:00:00,3365.697,3462.377,2940.222,3433.708,3313.017,2778.345,3632.141
08:15:00,3497.036,2096.328,2868.609,3537.677,3276.75,3113.3,3755.212
08:30:00,3710.323,1925.627,3549.809,3577.616,3281.839,3198.075,4004.935
08:45:00,3734.733,2001.343,3691.869,3714.841,3346.171,3170.264,4020.66
09:00:00,3855.046,2064.542,3827.267,3952.633,3790.619,3233.062,4137.226
09:15:00,4017.163,2107.0,3886.019,3930.402,3810.784,3309.04,4149.328
09:30:00,4033.471,3871.13,3837.626,3954.673,3889.462,3370.343,4208.09
09:45:00,4064.657,3922.742,3868.859,4106.727,3947.982,3485.8,4393.022
10:00:00,4149.314,3951.584,3905.188,4099.389,3854.131,3543.541,4433.532
10:15:00,4165.612,3995.109,3998.652,4058.945,3938.328,3627.029,4507.523
10:30:00,4271.437,4085.658,3988.908,4059.185,3903.653,3628.007,4536.615
10:45:00,4271.828,4056.261,4014.61,4031.519,3870.606,3842.579,4640.742
11:00:00,4276.856,4064.347,4045.857,4056.382,3914.625,3840.446,4646.257
11:15:00,4174.488,4110.39,4017.764,4257.722,3925.5,3859.653,4631.745
11:30:00,4101.884,4188.111,4206.283,4255.059,3980.951,3927.847,4761.109
11:45:00,4270.703,4157.036,4168.414,4175.363,4066.921,3913.593,4848.897
12:00:00,4242.985,4108.749,4192.332,4245.139,4071.15,3915.758,4811.296
12:15:00,4047.329,4023.938,4231.892,4195.048,3975.928,3910.011,4750.83
12:30:00,4077.811,4090.345,4194.64,4264.281,4057.284,3950.835,4771.232
12:45:00,4342.583,4067.898,4310.32,4207.742,4031.289,3911.105,4980.969
13:00:00,4292.33,4100.858,4250.036,4186.621,4039.361,3899.757,4940.333
13:15:00,4259.306,4024.816,4257.323,4194.828,4083.685,3870.029,3975.117
13:30:00,4311.42,4155.266,4338.764,4153.556,4092.579,3950.06,3947.59
13:45:00,4302.339,4154.12,4359.218,4201.328,4049.319,3974.624,3237.347
14:00:00,4254.878,4082.368,4326.198,4136.538,3989.95,3881.185,3347.158
14:15:00,4372.455,4075.071,4323.741,4049.056,4006.01,3822.642,3368.133
