Customer ID,Charging Level,Start Time(HH:MM),Duration(HH:MM)
P93C3,1,23:05,00:20
P156C10,1,19:25,02:55
P1C1,2,22:20,01:15
P71C5,1,17:55,00:20
P34C11,2,11:10,00:30
P22C7,2,20:45,00:20
P44C4,1,17:05,02:10
P79C6,1,14:15,03:25
P89C2,1,16:35,02:40
P115C12,2,18:40,01:40
P93C4,1,16:05,10:45
P148C7,1,20:15,00:55
P49C8,2,15:50,00:50
P190C11,2,15:45,00:20
P9C3,1,12:20,00:25
P145C7,1,13:50,05:35
P92C9,1,16:40,07:25
P119C5,2,21:25,00:50
P33C6,2,10:45,00:30
P47C4,1,16:35,01:05
P173C10,1,11:10,00:45
P208C4,2,03:25,00:30
P72C12,2,20:55,01:00
P150C3,2,19:45,00:25
P189C10,2,21:05,01:30
P193C2,2,19:30,00:25
P19C12,1,22:40,11:50
P11C4,1,17:05,05:35
P38C11,2,14:20,00:55
P189C9,1,10:05,00:45
P23C6,2,16:40,02:30
P92C12,2,09:55,01:45
P205C6,1,12:00,02:25
P113C11,2,22:45,00:20
P148C6,1,21:05,02:05
P73C1,1,14:45,08:25
P147C5,1,15:15,04:05
P179C1,2,15:35,00:35
P5C6,2,07:30,00:20
P160C2,2,10:55,00:25
P211C8,1,06:10,05:40
P159C8,2,13:40,00:20
P66C4,1,07:30,02:00
P170C2,1,01:10,03:40
P25C3,2,13:45,01:10
P97C6,1,12:35,00:45
P194C2,1,23:55,03:30
P68C8,1,09:45,11:20
P67C7,2,13:05,01:15
P30C3,2,11:25,00:20
P5C8,1,14:45,01:00
P145C2,1,23:20,00:35
P51C4,2,14:05,00:20
P63C4,1,15:25,07:25
P105C3,2,21:55,00:45
P13C11,1,21:50,07:15
P120C5,1,15:25,03:05
P34C3,2,10:45,00:50
P123C2,1,13:00,01:20
P10RC1,2,09:45,02:20
P23C12,2,23:35,00:55
P90C7,1,11:50,02:10
P213C12,1,22:40,01:40
P211C11,1,11:35,01:25
P13C3,2,14:50,00:30
P112C12,1,19:05,05:55
P138C6,2,18:05,01:00
P108C12,1,14:45,01:00
P200C2,2,14:25,00:20
