Customer ID,Charging Level,Start Time(HH:MM),Duration(HH:MM)
P93C3,2,08:40,00:20
P156C10,2,13:40,00:20
P1C1,2,11:15,00:20
P71C5,2,21:25,02:10
P34C11,2,12:10,02:10
P22C7,2,16:15,00:25
P44C4,2,06:15,00:20
P79C6,2,17:40,02:15
P89C2,2,08:20,00:20
P115C12,2,15:10,00:20
P93C4,2,08:15,00:20
P148C7,2,20:15,02:10
P49C8,2,20:20,00:20
P190C11,2,24:00,02:10
P9C3,2,13:55,02:10
P145C7,2,17:10,00:20
P92C9,2,13:40,00:20
P119C5,2,16:50,02:10
P33C6,2,15:50,00:20
P47C4,2,10:45,00:20
P173C10,2,12:55,00:20
P208C4,2,15:15,00:20
P72C12,2,15:35,00:25
P150C3,2,17:55,02:15
P189C10,2,16:50,00:20
P193C2,2,19:55,02:10
P19C12,2,16:40,02:05
P11C4,2,09:30,02:10
P38C11,2,11:50,02:05
P189C9,2,12:10,02:10
P23C6,2,18:40,02:15
P92C12,2,20:40,00:20
P205C6,2,23:50,00:20
P113C11,2,19:55,02:05
P148C6,2,23:25,02:15
P73C1,2,13:05,02:05
P147C5,2,18:35,00:20
P179C1,2,22:25,02:10
P5C6,2,12:40,00:20
P160C2,2,16:05,00:20
P211C8,2,12:50,00:20
P159C8,2,16:40,02:10
P66C4,2,23:35,00:20
P170C2,2,21:55,00:20
P25C3,2,11:20,00:20
P97C6,2,12:00,02:10
P194C2,2,17:30,02:15
P68C8,2,19:05,02:05
P67C7,2,11:35,02:05
P30C3,2,17:30,02:00
P5C8,2,21:00,02:05
P145C2,2,14:10,02:05
P51C4,2,22:30,00:20
P63C4,2,22:05,00:20
P105C3,2,11:35,02:10
P13C11,2,11:20,02:00
P120C5,2,16:25,02:15
P34C3,2,16:20,00:20
P123C2,2,18:50,00:20
P10RC1,2,12:15,00:25
P23C12,2,17:15,00:20
P90C7,2,19:45,02:10
P213C12,2,07:15,02:15
P211C11,2,17:35,00:20
P13C3,2,20:25,00:25
P112C12,2,21:50,00:30
P138C6,2,12:15,00:20
P108C12,2,18:00,00:20
P200C2,2,22:05,00:25
P122C1,2,14:25,02:15
P191C5,2,06:45,00:20
P31C4,2,09:50,02:05
P31C8,2,18:05,00:20
P171C6,2,16:30,00:20
P87C2,2,14:15,00:25
P37C5,2,15:40,00:20
P196C5,2,19:05,02:10
P77C11,2,16:25,00:20
P157C10,2,11:25,02:10
P153C2,2,15:05,00:20
P185C12,2,22:00,00:20
P130C4,2,12:25,02:10
P157C7,2,22:05,02:10
P209C7,2,15:55,02:10
P63C5,2,11:10,02:05
P188C11,2,11:35,00:20
P92C4,2,16:00,02:10
P202C4,2,14:50,00:20
P137C3,2,15:55,00:20
P129C7,2,15:55,02:10
P26C12,2,17:40,00:25
P199C3,2,17:45,02:10
P96C1,2,16:20,02:15
P215C7,2,08:45,02:00
P88C5,2,18:30,00:20
P55C2,2,20:50,02:15
P189C5,2,16:10,02:10
P118C5,2,11:15,02:15
P1C7,2,15:10,00:25
P127C2,2,10:15,00:20
P73C5,2,16:35,02:05
P109C9,2,08:10,00:25
P184C10,2,12:35,02:15
P78C10,2,11:55,02:05
P214C7,2,19:00,02:10
P127C12,2,18:10,00:25
P4C11,2,13:05,02:10
P193C4,2,15:10,00:25
P143C1,2,18:35,00:20
P206C6,2,16:40,02:05
P38C2,2,12:55,00:30
P30C10,2,14:40,00:20
P193C6,2,04:25,02:10
P143C11,2,17:30,02:05
P15C11,2,13:50,00:20
P156C4,2,18:40,02:10
P155C12,2,12:50,00:20
P211C2,2,21:35,02:05
P147C3,2,14:45,02:10
P28C5,2,03:05,02:15
